ibliID, %0, %1, %2, avgSOS_2L, avgEOS_2L, avgSOS_2S, avgEOS_2S, sdS_SOS_2L, sdS_EOS_2L, sdS_SOS_2S, sdS_EOS_2S, sdT_SOS_2L, sdT_EOS_2L, sdT_SOS_2S, sdT_EOS_2S, avgSOS_1, avgEOS_1, sdS_SOS_1, sdS_EOS_1, sdT_SOS_1, sdT_EOS_1
1,4.08602,29.8925,66.0215,101.540,220.304,268.241,29.3554,5.83962,41.7692,42.5771,23.2688,21.4466,32.6487,42.6107,32.9783,101.060,359.908,9.10634,20.1299,35.0136,67.1366
2,3.55649,32.6360,63.8075,97.9270,239.389,284.936,32.0819,5.66352,41.4693,46.6481,16.4901,20.3478,35.6527,34.2439,29.9183,100.270,356.508,6.47753,14.0995,25.7341,67.2398
3,5.02959,24.2604,70.7101,101.234,219.426,254.821,41.2750,8.51676,45.3404,49.3900,22.0604,26.5610,33.4253,37.3819,32.3180,109.156,353.758,12.8451,31.2853,47.9670,69.4274
4,5.77428,24.1470,70.0787,101.191,221.577,261.349,30.3001,7.66052,50.4951,45.3757,30.9504,23.4392,29.3176,39.2239,34.9368,120.603,333.960,26.6570,51.0489,54.8577,75.6583
5,5.88235,36.3171,57.8005,98.2477,199.166,248.637,16.7314,6.95360,40.2661,35.4735,30.9191,24.1346,25.7932,48.1122,39.4773,115.649,316.898,16.1077,19.8220,56.2913,75.5973
6,6.72083,10.8567,82.4225,97.6943,212.126,273.283,14.7579,4.65559,33.6584,34.0768,15.0178,23.0804,38.1550,42.4134,32.8056,98.2776,348.695,10.5837,21.7891,39.1143,68.1072
7,3.50318,32.4841,64.0127,101.600,211.565,253.585,41.0106,10.0905,47.6131,38.9995,14.5702,24.7670,25.6936,47.3377,26.3438,122.722,40.4317,26.9681,34.2824,43.2774,46.3513
8,4.29448,21.4724,74.2331,95.1760,248.641,292.201,38.3657,7.85245,42.3279,43.3993,16.1006,23.2252,36.6467,31.7559,29.4913,92.4174,352.566,5.77230,13.3263,27.3272,71.5174
9,3.10644,25.7195,71.1740,98.5212,185.069,246.481,353.842,6.39728,26.4862,25.9298,24.2435,27.0136,24.5609,51.0574,49.5574,115.719,312.669,16.9943,24.5016,54.8337,73.2021
10,9.78417,47.3381,42.8777,103.350,215.276,271.173,22.5415,20.0766,43.2655,41.7538,20.4675,36.6588,32.1297,39.3034,32.7217,121.768,324.877,15.0109,26.1858,60.5149,73.1458
