;Z-scored aggregated maxNDVI data for GIMMS of Kenyan divisions
adminID, pixels*100,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
1,542,-0.252166,0.758179,0.950030,-0.202866,0.598213,-2.33422,-1.16275,0.527606,-1.10066,-0.592322,-1.80618,-0.229993,-0.0245203,-0.00716947,0.686638,0.403600,0.671587,-0.189303,-0.372574,-0.617511,-1.13077,-0.987591,1.04786,0.194340,-1.43367,0.688426,1.65554,-1.32473,-0.447829,-0.758955,-0.758255,1.43246,2.39680,0.824057,0.212532,-1.19104,-1.00660,-2.11333,-1.47882,0.223404,-0.148691,-0.0459213,0.562467,0.825995,-0.485456,1.11470,-0.370693,0.769805,0.297194,-0.321059,1.02152,0.661300,1.09301,0.632236,0.818334,-0.929463,0.250160,0.696176,-0.282268,2.09318
2,554,0.711282,1.04277,1.70322,0.0698642,0.532448,-2.73897,-0.843382,1.09906,-0.609705,0.576420,-1.68271,0.104707,-1.01745,0.351284,0.437070,0.643424,1.08326,-0.152591,-0.299726,-1.44176,-1.34412,-0.940566,-0.187657,-0.501016,-1.63025,0.426329,0.959266,-0.978089,-0.216270,-0.822638,-0.407027,1.30811,2.62600,0.595181,0.630211,-1.03973,-1.00791,-1.35868,-0.871995,0.833718,-0.371260,-0.262479,-0.0946633,-0.168673,-0.542941,0.927524,0.394150,1.22771,-0.645472,-0.466173,0.820967,1.13926,1.19294,0.581780,0.844812,-1.44176,-0.509558,0.362005,0.346461,1.02401
3,382,0.0903595,0.378803,0.233192,-0.233522,0.327401,-2.24697,-0.973287,-0.233522,-1.16778,0.311955,-0.860844,0.528542,-1.43825,0.218369,0.214958,0.619455,1.57035,-0.142609,0.451999,-0.637282,-1.13131,-1.01163,0.151139,-0.444760,-2.29525,0.790585,1.35154,-0.0410003,0.327401,-0.212130,0.403376,0.766520,1.58250,0.710368,0.217997,-0.524978,-1.35316,-2.06782,-1.66010,-0.567760,-0.192267,-0.926064,-0.137565,-0.0490221,-0.265202,0.202325,-0.450581,0.499129,0.321323,-0.230848,1.05676,0.715715,1.09019,0.365434,1.29684,-0.843173,0.600910,0.975084,0.637378,3.33080
4,446,-0.115075,0.821049,0.313210,-0.0266921,-0.426555,-2.76423,-0.530382,0.332050,-0.900264,0.564805,-1.25717,0.601106,-1.41507,0.556263,0.620364,0.660896,0.964290,-0.127054,-0.132379,-1.34848,-1.22472,-1.18620,0.367286,-0.581888,-1.91257,0.750582,1.05297,-0.923547,-1.03437,0.0160153,-0.725057,1.18406,1.64349,0.468713,0.598733,-0.124919,-1.37830,-1.36984,-0.567154,0.0715348,0.641994,-1.03886,-0.536871,-0.423871,-0.0155744,0.761259,0.267786,0.509285,0.256971,-0.370486,1.86845,0.710010,1.60239,0.00106768,1.56129,-1.08370,0.237503,0.949171,0.174774,2.41190
5,449,-0.409201,0.916656,0.501562,-0.348728,-0.245849,-2.61214,-0.410742,0.315105,-0.854566,0.0811685,-1.39856,0.325738,-0.996343,0.187503,0.856004,0.269533,0.399852,-0.0494713,-0.344477,-1.35587,-1.07340,-1.05358,0.786657,-0.429238,-1.50951,0.0401537,0.587861,-1.38625,-1.36157,-0.107196,-1.05644,1.30554,1.47088,0.269533,0.615600,-0.0677001,-1.35849,-1.35435,-0.772890,-0.307713,0.848299,-0.365437,-0.521698,0.0735732,0.0315404,1.30402,0.470741,0.504988,0.0145888,-0.208973,1.66043,1.05185,1.83303,-0.114791,1.84690,-0.736090,0.691112,1.25693,-0.301327,2.59523
6,1537,-0.336712,0.711717,1.19682,-0.379773,0.817193,-2.81897,-1.12039,0.506742,-0.917423,-0.606953,-1.86460,0.120707,-0.481420,0.366676,0.862297,0.112166,0.758934,0.0387171,-0.823457,-0.899042,-1.24443,-1.14159,0.482674,0.153161,-1.18805,0.0130953,1.06526,-1.67794,-0.541559,-0.646240,-0.834733,1.08580,2.67209,0.325682,-0.0454167,0.137788,-0.624249,-1.75652,-0.770836,0.289811,0.274069,0.0711714,0.0654635,0.293227,-0.849768,0.629727,-0.238987,0.797123,0.131240,-0.600120,0.881090,1.24465,1.78317,0.382050,0.835987,0.132664,0.0880154,0.628019,-0.0322614,2.48646
7,354,1.15302,0.735519,1.41059,-0.598587,0.292912,-2.88535,-0.799471,0.772686,-0.500503,0.868538,-0.104945,0.444050,-0.700581,0.569245,-0.415412,0.580982,0.166426,0.0391234,-0.468306,-1.15218,-2.08043,-0.702264,0.0560374,-0.422532,-2.68527,1.24021,1.28411,-0.905706,-0.194636,0.741388,-0.360218,0.850933,2.11432,-0.181924,0.352706,-0.432313,-0.661486,-0.715957,-0.981151,1.14240,-0.180837,-0.246477,-0.162439,-0.0723782,0.391801,0.336461,0.0997327,0.528165,0.246917,-0.164318,0.334308,0.463612,1.08403,0.416664,1.66127,-2.71712,-0.314223,0.203441,-0.0382525,1.26368
8,188,0.268246,1.32864,1.60948,-0.226056,0.484755,-1.95307,-0.541555,1.42820,-0.400964,0.849978,-1.26138,0.493853,-0.589355,0.401950,-0.339104,0.417267,1.65728,0.643196,0.122032,-1.53951,-1.16859,-0.712377,-0.302551,-1.21785,-2.51826,1.03761,1.50544,-0.444326,0.417272,-0.731524,0.0433016,1.20610,2.25901,0.555122,0.119220,-0.164787,-0.999879,-1.57014,-0.968949,-0.398374,-0.454388,-0.884696,-0.271621,-0.471131,-0.291304,-0.237544,0.324482,0.413437,-0.952078,0.428755,0.872785,1.01464,0.451014,-0.0728839,1.08648,-1.92627,-0.105724,0.892100,-0.0551117,1.43969
9,2514,0.217580,0.515665,1.30349,0.228613,1.08529,-2.29158,-0.943339,0.739443,-0.643307,0.190031,-1.41555,0.423068,-0.339866,0.665365,1.03926,0.375226,0.503974,-0.339319,-1.10188,-0.919597,-0.733657,-1.40882,1.39725,-0.168013,-1.49226,0.140645,0.289178,-1.32394,-0.941634,0.0542210,-0.859807,1.51263,2.57692,-0.300736,0.137458,-0.566183,-1.20928,-1.65112,-0.951863,-0.394877,0.578982,-0.351665,-0.907540,0.134472,-0.304066,0.683884,-0.496701,0.240959,0.454537,-0.598592,0.642057,0.958591,1.20121,-0.255981,0.954022,-0.164927,0.278950,0.882969,-0.319409,2.98956
10,803,-0.592824,0.236012,0.597562,-0.0924494,0.528715,-3.18435,-1.07697,0.383485,-0.754947,0.693512,-0.868211,0.713622,-0.561731,0.820875,0.0556703,0.393540,0.513169,-0.147752,-1.32571,-1.03259,-1.34792,-1.29569,-0.0709193,-0.923659,-2.13411,0.0550232,0.324396,-0.898521,-0.994801,0.525930,-0.324098,1.40741,1.69911,0.480683,0.546482,-0.451076,-1.13694,-0.982312,-0.561731,0.219254,0.884055,-0.518109,-0.490664,0.0751331,0.377696,0.599666,0.506507,0.0634023,0.693060,-0.405829,2.01892,0.904666,1.30602,0.123732,1.61916,-1.04264,-0.133104,1.09403,0.704164,2.18500
