;Z-scored aggregated cumNDVI data for GIMMS of Kenyan divisions
adminID, pixels*100,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
1,542,-0.609762,0.448434,1.15316,-0.297191,0.0740271,-2.60515,-0.680359,0.465070,-0.871981,-0.315340,-1.70100,-0.00680590,-0.333422,0.354663,1.03214,0.989881,1.30243,0.280555,0.140591,-0.483219,-0.898203,-0.660173,0.719491,0.0899892,-0.851811,0.265430,2.08303,-0.837126,-0.0570828,-0.192834,-0.476635,1.00652,2.65992,0.864350,0.263632,-0.640511,-0.815503,-2.16201,-1.05554,0.478682,0.0679758,-0.301728,0.0276343,0.726719,-0.640018,0.486244,0.00948065,0.540691,-1.17858,-0.474145,1.39118,1.17591,0.338264,0.705545,0.197069,-2.35862,-0.557318,1.35286,-0.732803,1.10331
2,554,0.170247,0.543104,1.64349,0.425114,0.435534,-2.97233,-0.669398,0.897077,-0.852265,0.281096,-1.70736,0.321004,-0.795602,0.199543,0.780664,0.879725,1.39366,0.544840,0.304178,-0.869314,-1.19740,-0.733972,0.577192,-0.112785,-1.19740,-0.0468493,1.24170,-0.152694,0.226910,-0.256803,-0.388657,0.928310,2.56813,0.950867,0.747181,-0.494520,-0.805904,-2.20365,-0.568949,0.645479,0.0878281,-0.222100,-0.285634,0.0364383,-0.648793,0.392146,0.512802,0.763470,-1.75115,-0.147488,0.680216,1.23196,0.136764,0.334885,0.422656,-2.28867,-1.06862,1.11050,0.00798460,0.0156164
3,382,-0.394867,0.614583,0.741406,-0.123138,0.485385,-1.98308,-0.507056,0.0461147,-0.688284,0.342307,-1.05362,0.119703,-0.863759,0.101306,0.692503,1.01748,2.03877,0.769117,1.01181,-0.119458,-0.788966,-0.603300,0.879485,-0.0716262,-1.58580,0.130741,1.68782,0.0111604,0.502645,-0.0329925,0.634970,0.816950,1.88343,1.10394,0.632094,0.108665,-1.19170,-2.26271,-1.10540,-0.474521,-0.0439165,-0.562827,-0.668147,0.281597,-0.754447,-0.0256337,-0.190625,0.425093,-1.34703,-0.796469,0.824829,0.896057,0.140188,0.0277177,0.565931,-2.83302,-1.37580,2.03115,-0.161859,1.04507
4,446,-0.314709,0.451752,0.692696,-0.144892,-0.223587,-2.93719,-0.383050,0.338788,-0.970281,0.348334,-1.41070,0.176500,-1.19809,0.361062,0.826848,1.03408,1.45458,0.629950,0.553482,-0.744719,-1.16012,-0.684259,0.733194,-0.444010,-1.46639,0.499484,1.54570,-0.461512,-0.266617,-0.121026,-0.496953,1.13113,2.13546,1.09613,0.718007,0.135133,-0.803224,-1.79322,-0.618449,0.0460341,0.781287,-0.669940,-0.618449,0.0237594,-0.593137,0.119223,-0.0236246,0.386519,-1.30946,-0.391505,1.75832,1.15022,0.482609,0.143088,1.05718,-2.24508,-0.529858,1.74528,-0.352676,0.820877
5,449,-0.813172,0.293742,1.03226,0.00379661,-0.361104,-2.52417,-0.268213,0.415416,-0.695511,0.0128574,-1.27350,0.0801662,-0.778080,0.329985,1.07974,0.670412,1.17056,0.223844,0.142571,-0.745661,-1.02372,-0.636931,0.906339,-0.541146,-1.11662,0.265265,1.39556,-0.982536,-0.668676,-0.161886,-0.854457,1.18688,1.97562,0.824446,0.693723,-0.302976,-0.790466,-1.72811,-0.619134,0.231611,1.04258,-0.498430,-0.499408,0.353284,-0.532436,0.396000,-0.189772,0.197957,-1.68428,-0.305565,1.73616,1.62050,0.623538,0.0128574,1.20153,-2.18762,0.0765150,1.87550,-0.908127,1.62050
6,1537,-0.602183,0.241063,1.18493,-0.505048,0.340519,-2.82878,-0.876952,0.429838,-0.584312,-0.535013,-1.62754,0.215593,-0.276035,0.710004,0.823040,0.885295,1.47310,-0.0795553,-0.0950898,-1.02043,-0.662498,-0.967997,0.441044,-0.172445,-0.836742,-0.152968,1.35917,-1.21071,-0.153171,-0.155964,-0.555271,1.42765,3.27809,0.754950,0.248929,0.110718,-0.329648,-1.75905,-0.646861,0.931740,0.528166,-0.235370,-0.347520,0.308482,-1.18746,-0.332754,-0.191147,0.471788,-1.30363,-0.470589,0.986114,1.55050,0.0233064,0.789409,0.592949,-1.13580,-0.182212,1.31828,-0.821105,1.41716
7,354,0.781449,0.245168,1.01612,-0.203079,0.490772,-3.21966,-0.623933,0.661108,-1.55996,0.589765,-0.421259,0.262667,-0.730603,0.526500,0.0800913,0.635532,0.850784,0.958593,0.277431,-0.299997,-1.89598,-0.728052,0.594775,-0.133082,-2.00798,0.122674,1.78948,-0.320188,0.128093,0.444388,-0.527929,0.735143,2.32550,0.665146,0.648111,0.122674,-0.471928,-1.59762,-0.767938,1.12955,0.314766,0.173825,-0.650600,-0.112891,0.472105,0.418813,0.237430,-0.0240494,-1.52263,-0.295959,0.432103,0.739181,0.445437,-0.843815,0.912120,-2.60046,-0.562597,1.16724,-0.0532466,0.780910
8,188,-0.0355364,0.805043,1.27283,0.356516,0.782865,-2.31159,-0.490503,0.949662,-0.652029,0.0882375,-1.48928,0.140636,-0.617032,-0.207288,0.341359,1.15297,1.80587,0.903551,0.605186,-0.305796,-0.662798,-0.595033,0.379048,-0.163273,-2.01962,0.00649654,1.69549,0.297830,0.723638,0.228664,0.268672,0.905647,1.83279,0.863729,0.244443,-0.0354219,-0.859322,-2.85653,-0.450121,0.0169762,0.0263821,-0.393825,-0.759714,0.157403,-0.555113,-0.0982996,0.142143,0.264295,-1.87155,-0.488141,0.484041,0.922415,0.257904,-0.0459015,0.634799,-2.33465,-1.41659,1.60988,0.381741,0.165787
9,2514,-0.554048,0.0756318,1.56460,-0.101131,0.325259,-2.38022,-0.526353,0.666775,-0.281717,0.129240,-1.28103,0.0814273,-0.0924695,0.942062,0.976084,0.969590,1.28996,-0.143149,-0.401727,-0.609688,-0.434037,-1.07912,0.692213,-0.469147,-0.856381,0.232111,0.959929,-1.04290,-0.510198,-0.0272386,-0.417882,1.69693,3.19858,0.297310,0.279101,-0.211246,-0.740987,-1.72388,-0.600205,0.277026,0.648364,-0.586506,-0.976392,0.162565,-0.683290,-0.166331,-0.203248,0.201684,-1.44720,-0.787900,1.13302,1.16809,-0.316335,0.0133300,0.719908,-1.44279,-0.267869,1.70852,-1.19564,2.14898
10,803,-0.498487,-0.0692623,0.715149,-0.299985,0.0608173,-2.86524,-0.965479,0.542357,-1.21527,0.442696,-1.07951,0.311635,-0.620665,0.692532,0.511519,0.633827,1.01381,0.0972947,-0.574509,-0.436507,-1.31572,-0.848804,0.0390967,-0.716378,-1.64968,-0.00100125,0.848187,-0.623542,-0.509347,0.0727207,-0.373594,1.24545,2.54239,0.714375,0.674423,0.0672598,-0.745558,-1.47817,-0.417035,0.546453,1.46451,-0.159367,-0.552788,0.201052,-0.159103,0.0426859,-0.0640759,-0.0883755,-0.615235,-0.891126,2.17857,1.45023,0.158560,-0.0324014,1.26359,-1.98467,-0.376309,1.85843,0.261732,1.57583
