wl(nm),dif/tot veg smoothed
400,0.468948878
401,0.468042979
402,0.467143163
403,0.466247747
404,0.465358352
405,0.464473897
406,0.463594629
407,0.462717207
408,0.461848214
409,0.460983804
410,0.460983804
411,0.460123719
412,0.45835892
413,0.45660805
414,0.454874791
415,0.453156296
416,0.451453833
417,0.449767046
418,0.448092298
419,0.446429112
420,0.444780725
421,0.443145616
422,0.441522942
423,0.439913754
424,0.438316196
425,0.436730941
426,0.435156538
427,0.433595438
428,0.432046737
429,0.430512633
430,0.42898518
431,0.427468072
432,0.425966119
433,0.424473499
434,0.422970876
435,0.42150202
436,0.420042724
437,0.418596739
438,0.417161435
439,0.415738253
440,0.414328276
441,0.412930838
442,0.411545721
443,0.410173942
444,0.408812838
445,0.407463435
446,0.406126002
447,0.404800728
448,0.403484403
449,0.40217912
450,0.400884079
451,0.399601725
452,0.398330317
453,0.397066199
454,0.39581379
455,0.394593224
456,0.393358763
457,0.392135942
458,0.39091924
459,0.38970864
460,0.388504201
461,0.387304951
462,0.386110827
463,0.384919911
464,0.383730764
465,0.38254147
466,0.381354225
467,0.38016354
468,0.378972423
469,0.377792925
470,0.376629033
471,0.375482436
472,0.374352258
473,0.373237004
474,0.372133387
475,0.371038716
476,0.369955933
477,0.368881742
478,0.367813482
479,0.366761564
480,0.365719414
481,0.364690085
482,0.363672984
483,0.362667352
484,0.361678018
485,0.36070427
486,0.359749997
487,0.358813393
488,0.357900767
489,0.357009302
490,0.356126728
491,0.355250002
492,0.354372789
493,0.35347944
494,0.352550671
495,0.351680459
496,0.350823587
497,0.350011417
498,0.349202834
499,0.348399735
500,0.347634471
501,0.346870901
502,0.346143302
503,0.34543649
504,0.344748014
505,0.344075304
506,0.343421719
507,0.342785617
508,0.342166046
509,0.341561204
510,0.340968312
511,0.340388293
512,0.339816335
513,0.339256087
514,0.338721558
515,0.338227375
516,0.337678378
517,0.337133059
518,0.33654955
519,0.335967023
520,0.335385187
521,0.334759983
522,0.334132422
523,0.33346917
524,0.332785162
525,0.332080645
526,0.331356235
527,0.330610272
528,0.32984412
529,0.329056893
530,0.328247833
531,0.327405359
532,0.326554602
533,0.325684435
534,0.324779534
535,0.323898296
536,0.323015633
537,0.322099815
538,0.321206232
539,0.320306695
540,0.319416414
541,0.318530384
542,0.317642064
543,0.316762424
544,0.31588699
545,0.315013593
546,0.314143841
547,0.313277626
548,0.312413988
549,0.31155196
550,0.310693022
551,0.309837357
552,0.308999715
553,0.308154574
554,0.30731161
555,0.306491213
556,0.305636192
557,0.304777081
558,0.30394499
559,0.303078311
560,0.302189204
561,0.301274475
562,0.300380262
563,0.299490731
564,0.298553383
565,0.297629037
566,0.296727895
567,0.295812128
568,0.294905404
569,0.294006571
570,0.293122894
571,0.292248935
572,0.291398834
573,0.290557076
574,0.289725507
575,0.28890885
576,0.288112196
577,0.287326133
578,0.286539209
579,0.285773312
580,0.284985134
581,0.284074102
582,0.283291641
583,0.282130876
584,0.281265542
585,0.28059527
586,0.279851472
587,0.278895195
588,0.278031844
589,0.277373496
590,0.276634067
591,0.275952114
592,0.275298436
593,0.274635748
594,0.273980126
595,0.273330259
596,0.272677877
597,0.272016447
598,0.271355687
599,0.270707866
600,0.270054221
601,0.269434892
602,0.268975246
603,0.26841364
604,0.268218057
605,0.26773828
606,0.267118769
607,0.266568234
608,0.266217413
609,0.265799068
610,0.265177262
611,0.264639146
612,0.26403926
613,0.263411978
614,0.262780478
615,0.262143235
616,0.261499531
617,0.260850384
618,0.260207861
619,0.259241152
620,0.258598996
621,0.257797151
622,0.257168196
623,0.256545125
624,0.255927973
625,0.255316856
626,0.254718526
627,0.254108148
628,0.253503162
629,0.252923748
630,0.252351092
631,0.251786079
632,0.251200931
633,0.250643504
634,0.250095475
635,0.249549429
636,0.249007035
637,0.248465805
638,0.247890357
639,0.247349662
640,0.247098815
641,0.246602405
642,0.246237419
643,0.245618722
644,0.245105326
645,0.244590044
646,0.244031794
647,0.243380336
648,0.242876189
649,0.242374825
650,0.241827701
651,0.241305069
652,0.240785915
653,0.240288603
654,0.239751969
655,0.239230664
656,0.238721455
657,0.238214719
658,0.23771686
659,0.237267039
660,0.236781055
661,0.23634093
662,0.235830983
663,0.235358455
664,0.234975265
665,0.234489789
666,0.234010078
667,0.233575968
668,0.233232675
669,0.232764423
670,0.232297207
671,0.231860666
672,0.231401548
673,0.230942514
674,0.230492543
675,0.230065189
676,0.229617484
677,0.229170699
678,0.226727814
679,0.226271956
680,0.225826202
681,0.225364559
682,0.224713705
683,0.223529215
684,0.223138875
685,0.222290331
686,0.22181029
687,0.221443977
688,0.221121356
689,0.22084489
690,0.220476146
691,0.21999451
692,0.219617888
693,0.219384043
694,0.21892188
695,0.218747036
696,0.218525171
697,0.218281479
698,0.218133282
699,0.219784724
700,0.219420813
701,0.219316294
702,0.219272744
703,0.219412872
704,0.219987604
705,0.219906797
706,0.220260693
707,0.220312081
708,0.218713142
709,0.217604751
710,0.217020833
711,0.215849662
712,0.215783847
713,0.215399052
714,0.214669763
715,0.2145009
716,0.214342013
717,0.212964874
718,0.212788796
719,0.211264488
720,0.210344975
721,0.210364372
722,0.210215002
723,0.209515277
724,0.209356556
725,0.209438165
726,0.209046849
727,0.208987891
728,0.208605608
729,0.209834396
730,0.210783034
731,0.211151812
732,0.212130322
733,0.212225124
734,0.212512515
735,0.213037644
736,0.213255039
737,0.21316944
738,0.21434713
739,0.214369255
740,0.215645821
741,0.21652295
742,0.216490086
743,0.21636632
744,0.216752793
745,0.216607635
746,0.216322001
747,0.216377431
748,0.216128917
749,0.216140881
750,0.216057137
751,0.213619126
752,0.210581569
753,0.210158652
754,0.207105095
755,0.20631499
756,0.205592564
757,0.205084541
758,0.204655037
759,0.202518341
760,0.202128118
761,0.201740646
762,0.201358371
763,0.200892506
764,0.200509869
765,0.200123942
766,0.199732852
767,0.199343196
768,0.198950135
769,0.19855574
770,0.198155641
771,0.197782656
772,0.199512567
773,0.201848223
774,0.201638059
775,0.203953637
776,0.204030917
777,0.204004146
778,0.203727922
779,0.203423809
780,0.204679956
781,0.204280027
782,0.203905376
783,0.203352133
784,0.203010128
785,0.202617362
786,0.202002809
787,0.201429905
788,0.200580875
789,0.20013517
790,0.199633121
791,0.199104245
792,0.198057987
793,0.197418915
794,0.196839646
795,0.196372037
796,0.195999354
797,0.195617476
798,0.195211124
799,0.194839806
800,0.194378234
801,0.193918881
802,0.193045309
803,0.192487647
804,0.192216586
805,0.191794531
806,0.190960384
807,0.189044423
808,0.188648408
809,0.186928766
810,0.186222876
811,0.183310543
812,0.183031497
813,0.182234459
814,0.180856186
815,0.180428568
816,0.180101431
817,0.179466437
818,0.17907838
819,0.178592582
820,0.176482556
821,0.176069639
822,0.175732848
823,0.174536867
824,0.174263356
825,0.173960262
826,0.173599646
827,0.173296578
828,0.174294908
829,0.174040238
830,0.175306477
831,0.175229865
832,0.177485989
833,0.177139706
834,0.177799325
835,0.17862348
836,0.178545939
837,0.178262155
838,0.178193565
839,0.177833043
840,0.177641818
841,0.179088565
842,0.178876455
843,0.178725186
844,0.179770065
845,0.179544234
846,0.179228596
847,0.179010823
848,0.179110325
849,0.179210181
850,0.17900609
851,0.178888551
852,0.178692746
853,0.178441033
854,0.178195484
855,0.177972153
856,0.177769571
857,0.177468899
858,0.177169852
859,0.176871903
860,0.176628398
861,0.176347289
862,0.176024066
863,0.175720927
864,0.175435561
865,0.175121439
866,0.174816976
867,0.174517731
868,0.174204778
869,0.173902329
870,0.173595107
871,0.173303138
872,0.173010284
873,0.172727573
874,0.172433932
875,0.17214093
876,0.171852881
877,0.171313975
878,0.171018129
879,0.170683817
880,0.170388291
881,0.170095898
882,0.169634774
883,0.168923781
884,0.168560746
885,0.168211851
886,0.167770925
887,0.166986324
888,0.166493758
889,0.166127689
890,0.163659551
891,0.163190971
892,0.161143583
893,0.15941901
894,0.158885633
895,0.158529727
896,0.15751349
897,0.156999877
898,0.156659298
899,0.156236582
900,0.154619159
901,0.154003351
902,0.151850909
903,0.150547818
904,0.149509172
905,0.14790714
906,0.147417818
907,0.14696623
908,0.145716666
909,0.145080079
910,0.144560668
911,0.146417024
912,0.14593155
913,0.145687991
914,0.146768818
915,0.145979362
916,0.145712979
917,0.146020027
918,0.145909695
919,0.145023164
920,0.143831214
921,0.143046501
922,0.14101035
923,0.140847565
924,0.139366122
925,0.137957629
926,0.137645938
927,0.133787914
928,0.132129531
929,0.129767849
930,0.127397737
931,0.126883802
932,0.125672965
933,0.123215135
934,0.123749696
935,0.121485096
936,0.121258883
937,0.119581805
938,0.11773804
939,0.116493414
940,0.115482024
941,0.112805922
942,0.113537939
943,0.110735663
944,0.110477094
945,0.111824234
946,0.113106024
947,0.111886108
948,0.114486013
949,0.115077465
950,0.11707541
951,0.118463379
952,0.118016272
953,0.118044693
954,0.11977715
955,0.117981777
956,0.119126322
957,0.118212669
958,0.118212426
959,0.119543826
960,0.120231136
961,0.121489153
962,0.124668233
963,0.125109562
964,0.12884582
965,0.129155778
966,0.129447809
967,0.128151377
968,0.13034666
969,0.130202357
970,0.130135318
971,0.131100462
972,0.131860309
973,0.131754425
974,0.132070759
975,0.132438163
976,0.13454027
977,0.134761047
978,0.135771332
979,0.136662776
980,0.136598026
981,0.136381598
982,0.136306955
983,0.136172272
984,0.1358953
985,0.136370037
986,0.137393296
987,0.137396496
988,0.138932991
989,0.13857405
990,0.13929847
991,0.139815598
992,0.139741679
993,0.1393008
994,0.139759781
995,0.13953941
996,0.139357446
997,0.139333263
998,0.139383418
999,0.139258828
1000,0.139002389
1001,0.138742419
1002,0.138673556
1003,0.138531224
1004,0.138332554
1005,0.138431383
1006,0.13823667
1007,0.138038035
1008,0.137873771
1009,0.137794332
1010,0.137740625
1011,0.137543846
1012,0.137345385
1013,0.137144123
1014,0.137191466
1015,0.136873738
1016,0.136881688
1017,0.136705981
1018,0.136502392
1019,0.13631766
1020,0.136221683
1021,0.136208184
1022,0.13608116
1023,0.135895919
1024,0.135691237
1025,0.135493516
1026,0.135301499
1027,0.135092675
1028,0.134901429
1029,0.134750145
1030,0.134557135
1031,0.134362714
1032,0.134168633
1033,0.133978764
1034,0.133787169
1035,0.133639466
1036,0.13356623
1037,0.133371844
1038,0.133176949
1039,0.132978433
1040,0.132783333
1041,0.132583242
1042,0.132395265
1043,0.132196895
1044,0.131991007
1045,0.131780554
1046,0.131568931
1047,0.131349741
1048,0.131142306
1049,0.130916664
1050,0.130676855
1051,0.130446349
1052,0.13021092
1053,0.129973664
1054,0.129724154
1055,0.129479461
1056,0.129216466
1057,0.128970021
1058,0.128663535
1059,0.128396806
1060,0.128160854
1061,0.127942247
1062,0.127723659
1063,0.127481494
1064,0.127209521
1065,0.127006657
1066,0.126779081
1067,0.126585936
1068,0.126401457
1069,0.126233159
1070,0.126057251
1071,0.125854129
1072,0.125551926
1073,0.125288738
1074,0.125122051
1075,0.124933709
1076,0.124777269
1077,0.123951001
1078,0.123639197
1079,0.123535032
1080,0.123298209
1081,0.123144082
1082,0.122953693
1083,0.122715202
1084,0.122396182
1085,0.122295495
1086,0.121545345
1087,0.120529801
1088,0.120317859
1089,0.119356728
1090,0.1187893
1091,0.117811797
1092,0.11660563
1093,0.115638832
1094,0.11442622
1095,0.113802706
1096,0.113246744
1097,0.112271903
1098,0.112709544
1099,0.11159663
1100,0.1111736
1101,0.110616972
1102,0.109722353
1103,0.109183751
1104,0.106725705
1105,0.105445274
1106,0.104289141
1107,0.103723567
1108,0.102738905
1109,0.101540614
1110,0.099509142
1111,0.097678118
1112,0.097288426
1113,0.096600861
1114,0.095772344
1115,0.095149001
1116,0.09414162
1117,0.092927549
1118,0.092539735
1119,0.090470044
1120,0.087743434
1121,0.086001805
1122,0.085178567
1123,0.084563969
1124,0.083071751
1125,0.083846516
1126,0.082709186
1127,0.077749382
1128,0.077609712
1129,0.078171411
1130,0.078330065
1131,0.07834796
1132,0.078563533
1133,0.078435843
1134,0.078802661
1135,0.078937441
1136,0.077255856
1137,0.076352966
1138,0.076161449
1139,0.076018896
1140,0.076515075
1141,0.078134938
1142,0.078823378
1143,0.077210746
1144,0.077362911
1145,0.077443857
1146,0.076684648
1147,0.077808831
1148,0.082941978
1149,0.082636257
1150,0.081274005
1151,0.081162357
1152,0.083008279
1153,0.083689856
1154,0.084308127
1155,0.084821764
1156,0.084936288
1157,0.086825274
1158,0.087986175
1159,0.088812152
1160,0.089404634
1161,0.090199168
1162,0.091328683
1163,0.09160077
1164,0.09365816
1165,0.092755538
1166,0.093715142
1167,0.095454881
1168,0.096145493
1169,0.096198537
1170,0.096983767
1171,0.098720249
1172,0.098839519
1173,0.098413497
1174,0.098772531
1175,0.098627803
1176,0.098012281
1177,0.098300934
1178,0.098564334
1179,0.098648206
1180,0.098750278
1181,0.098618347
1182,0.098102354
1183,0.098053932
1184,0.098350219
1185,0.098470228
1186,0.099349669
1187,0.099289743
1188,0.099007098
1189,0.098842338
1190,0.098324401
1191,0.09821737
1192,0.09775243
1193,0.097547416
1194,0.09773251
1195,0.097175696
1196,0.096504451
1197,0.096912966
1198,0.09658143
1199,0.096853883
1200,0.096923781
1201,0.096245842
