  Wl(nm)  HCRF  Rso  Rdo  Rsd  Rdd  ABSs  ABSd
       400       0.02139150       0.01798823       0.02531305       0.01730824       0.02223138       0.91119326       0.81300377
       401       0.02136854       0.01798696       0.02529632       0.01731693       0.02222824       0.91114495       0.81291898
       402       0.02134276       0.01798241       0.02527671       0.01732174       0.02222164       0.91110084       0.81283799
       403       0.02132315       0.01798427       0.02526267       0.01733387       0.02222151       0.91104892       0.81274996
       404       0.02130799       0.01799272       0.02525032       0.01735548       0.02222694       0.91097732       0.81263396
       405       0.02129808       0.01800510       0.02524566       0.01738104       0.02223897       0.91091052       0.81253235
       406       0.02129276       0.01802099       0.02524413       0.01741107       0.02225504       0.91083876       0.81242623
       407       0.02129007       0.01804019       0.02524549       0.01744498       0.02227457       0.91076281       0.81231632
       408       0.02129391       0.01806620       0.02525287       0.01748727       0.02230163       0.91067770       0.81219808
       409       0.02129569       0.01808941       0.02525793       0.01752697       0.02232651       0.91059512       0.81208205
       410       0.02129171       0.01810586       0.02525703       0.01755838       0.02234395       0.91052159       0.81197426
       411       0.02128301       0.01811859       0.02525274       0.01758470       0.02235672       0.91045382       0.81187175
       412       0.02128556       0.01814136       0.02525726       0.01762304       0.02238023       0.91037300       0.81175743
       413       0.02129090       0.01816796       0.02526526       0.01766665       0.02240857       0.91028620       0.81163762
       414       0.02130311       0.01820153       0.02527945       0.01771898       0.02244478       0.91018980       0.81150906
       415       0.02130943       0.01822852       0.02528789       0.01776355       0.02247408       0.91010176       0.81138808
       416       0.02131981       0.01825925       0.02529971       0.01781311       0.02250792       0.91000813       0.81126198
       417       0.02132711       0.01828664       0.02530858       0.01785862       0.02253814       0.90991891       0.81113988
       418       0.02133436       0.01831455       0.02531806       0.01790550       0.02256972       0.90982792       0.81101611
       419       0.02134037       0.01834207       0.02532299       0.01795288       0.02259872       0.90972722       0.81087348
       420       0.02135033       0.01837224       0.02533409       0.01800059       0.02263069       0.90963599       0.81074971
       421       0.02134864       0.01839149       0.02533129       0.01803560       0.02264817       0.90954960       0.81062035
       422       0.02134879       0.01841427       0.02532754       0.01807668       0.02266821       0.90944716       0.81046628
       423       0.02134837       0.01843696       0.02532367       0.01811743       0.02268792       0.90934514       0.81031263
       424       0.02135212       0.01846352       0.02532332       0.01816351       0.02271252       0.90923706       0.81015343
       425       0.02136468       0.01849699       0.02533315       0.01821638       0.02274611       0.90913096       0.81000614
       426       0.02137163       0.01852279       0.02534006       0.01825700       0.02277139       0.90904809       0.80989019
       427       0.02136235       0.01853118       0.02533155       0.01827603       0.02277723       0.90898893       0.80979580
       428       0.02135106       0.01853992       0.02531937       0.01829762       0.02278256       0.90891740       0.80968003
       429       0.02135214       0.01855885       0.02532020       0.01832977       0.02280022       0.90884379       0.80957251
       430       0.02134615       0.01857008       0.02531402       0.01835130       0.02280814       0.90878223       0.80947606
       431       0.02133910       0.01858053       0.02531101       0.01836910       0.02281540       0.90873454       0.80940244
