wl1; r1
350.00000;0.017345123
351.00000;0.027098625
352.00000;0.031066414
353.00000;0.031394499
354.00000;0.031352622
355.00000;0.030800011
356.00000;0.031021489
357.00000;0.030976548
358.00000;0.030808762
359.00000;0.030398726
360.00000;0.030463552
361.00000;0.030248579
362.00000;0.030167271
363.00000;0.030207812
364.00000;0.030114952
365.00000;0.029718967
366.00000;0.029264808
367.00000;0.029263599
368.00000;0.029580737
369.00000;0.029576054
370.00000;0.029533844
371.00000;0.029517210
372.00000;0.029531280
373.00000;0.029553344
374.00000;0.029496459
375.00000;0.029691777
376.00000;0.029757570
377.00000;0.029716086
378.00000;0.029726118
379.00000;0.029924386
380.00000;0.030076554
381.00000;0.030102702
382.00000;0.030364498
383.00000;0.030746946
384.00000;0.030920001
385.00000;0.030895744
386.00000;0.031024651
387.00000;0.031330625
388.00000;0.031560499
389.00000;0.031631889
390.00000;0.031816812
391.00000;0.032005871
392.00000;0.032386939
393.00000;0.032830404
394.00000;0.033179816
395.00000;0.033235761
396.00000;0.033471922
397.00000;0.033870107
398.00000;0.034109946
399.00000;0.034294722
400.00000;0.034512475
401.00000;0.034852012
402.00000;0.035194040
403.00000;0.035610439
404.00000;0.035960349
405.00000;0.036318340
406.00000;0.036683075
407.00000;0.037090390
408.00000;0.037516915
409.00000;0.037947042
410.00000;0.038291274
411.00000;0.038635244
412.00000;0.038983457
413.00000;0.039496537
414.00000;0.039949630
415.00000;0.040394757
416.00000;0.040805047
417.00000;0.041247143
418.00000;0.041705552
419.00000;0.042214362
420.00000;0.042614685
421.00000;0.042973535
422.00000;0.043377377
423.00000;0.043875866
424.00000;0.044376537
425.00000;0.044865085
426.00000;0.045357940
427.00000;0.045779651
428.00000;0.046249373
429.00000;0.046789198
430.00000;0.047326569
431.00000;0.047682542
432.00000;0.048065762
433.00000;0.048522156
434.00000;0.049095856
435.00000;0.049562035
436.00000;0.050027944
437.00000;0.050466265
438.00000;0.050984339
439.00000;0.051529670
440.00000;0.052051510
441.00000;0.052484096
442.00000;0.052973188
443.00000;0.053515727
444.00000;0.054080965
445.00000;0.054692946
446.00000;0.055256049
447.00000;0.055809032
448.00000;0.056344323
449.00000;0.056860535
450.00000;0.057432313
451.00000;0.057973834
452.00000;0.058629517
453.00000;0.059183910
454.00000;0.059714705
455.00000;0.060249578
456.00000;0.060842130
457.00000;0.061446130
458.00000;0.061981767
459.00000;0.062519187
460.00000;0.063033544
461.00000;0.063565017
462.00000;0.064083159
463.00000;0.064667806
464.00000;0.065299696
465.00000;0.065880742
466.00000;0.066393673
467.00000;0.066915023
468.00000;0.067483773
469.00000;0.068052657
470.00000;0.068631270
471.00000;0.069261419
472.00000;0.069782622
473.00000;0.070318086
474.00000;0.070821990
475.00000;0.071398668
476.00000;0.071947168
477.00000;0.072560495
478.00000;0.073129974
479.00000;0.073663028
480.00000;0.074248474
481.00000;0.074841585
482.00000;0.075433121
483.00000;0.075996148
484.00000;0.076570496
485.00000;0.077108685
486.00000;0.077681394
487.00000;0.078284845
488.00000;0.078882797
489.00000;0.079476700
490.00000;0.080072798
491.00000;0.080661907
492.00000;0.081220025
493.00000;0.081802495
494.00000;0.082467198
495.00000;0.083091966
496.00000;0.083696216
497.00000;0.084265236
498.00000;0.084844650
499.00000;0.085426904
500.00000;0.086005840
501.00000;0.086570980
502.00000;0.087186173
503.00000;0.087845247
504.00000;0.088493018
505.00000;0.089111742
506.00000;0.089705237
507.00000;0.090313076
508.00000;0.090930156
509.00000;0.091584555
510.00000;0.092255307
511.00000;0.092951071
512.00000;0.093625218
513.00000;0.094371016
514.00000;0.095089890
515.00000;0.095789886
516.00000;0.096436977
517.00000;0.097118378
518.00000;0.097801566
519.00000;0.098569010
520.00000;0.099299379
521.00000;0.099990231
522.00000;0.10067060
523.00000;0.10141217
524.00000;0.10216887
525.00000;0.10284722
526.00000;0.10351323
527.00000;0.10417651
528.00000;0.10488079
529.00000;0.10554601
530.00000;0.10617685
531.00000;0.10679727
532.00000;0.10742673
533.00000;0.10803749
534.00000;0.10864603
535.00000;0.10926852
536.00000;0.10980607
537.00000;0.11036614
538.00000;0.11092835
539.00000;0.11147792
540.00000;0.11200674
541.00000;0.11255175
542.00000;0.11310349
543.00000;0.11365085
544.00000;0.11424012
545.00000;0.11481681
546.00000;0.11538715
547.00000;0.11590786
548.00000;0.11644083
549.00000;0.11693438
550.00000;0.11743984
551.00000;0.11799876
552.00000;0.11853641
553.00000;0.11907558
554.00000;0.11953229
555.00000;0.12005027
556.00000;0.12055343
557.00000;0.12101616
558.00000;0.12144803
559.00000;0.12191119
560.00000;0.12239781
561.00000;0.12283687
562.00000;0.12329666
563.00000;0.12373031
564.00000;0.12418902
565.00000;0.12461043
566.00000;0.12498793
567.00000;0.12543406
568.00000;0.12580097
569.00000;0.12616560
570.00000;0.12647492
571.00000;0.12685108
572.00000;0.12732240
573.00000;0.12781055
574.00000;0.12823234
575.00000;0.12857123
576.00000;0.12889731
577.00000;0.12927447
578.00000;0.12968922
579.00000;0.13013293
580.00000;0.13057238
581.00000;0.13110296
582.00000;0.13159850
583.00000;0.13201526
584.00000;0.13236469
585.00000;0.13271714
586.00000;0.13307847
587.00000;0.13354873
588.00000;0.13378843
589.00000;0.13402661
590.00000;0.13440868
591.00000;0.13483920
592.00000;0.13529557
593.00000;0.13574102
594.00000;0.13621097
