Wl	avg med mob 10
196.96	30.24161071
197.2	27.46607505
197.44	27.44023778
197.68	27.44091346
197.92	27.11685896
198.16	27.02573009
198.4	27.07331455
198.64	27.25978229
198.88	26.74747765
199.12	26.67146325
199.36	-0.225190395
199.6	-0.030393479
199.84	0.046464711
200.08	-0.047312737
200.32	-0.172186433
200.56	0.048671477
200.8	0.200066539
201.04	0.138490747
201.28	0.136387482
201.52	0.213377068
201.76	0.175060795
202	0.435267039
202.24	0.433769073
202.48	0.443792063
202.72	0.530517117
202.96	0.584970577
203.2	0.57367924
203.44	0.543189091
203.68	0.519285291
203.92	0.49500369
204.16	0.423055316
204.4	0.478925278
204.64	0.505488282
204.88	0.511597456
205.12	0.489365915
205.36	0.483856604
205.6	0.474209181
205.84	0.446196758
206.08	0.474378212
206.32	0.504578277
206.56	0.516158834
206.8	0.506542255
207.04	0.483409158
207.28	0.417192789
207.52	0.417718775
207.76	0.417304205
208	0.421571121
208.24	0.472544746
208.48	0.522922834
208.72	0.505167095
208.96	0.480582696
209.2	0.470749752
209.44	0.463558588
209.68	0.467098527
209.92	0.524855467
210.16	0.515390322
210.4	0.514428487
210.64	0.532380846
210.88	0.501463928
211.12	0.50820747
211.36	0.527852597
211.6	0.532158915
211.84	0.535635465
212.08	0.542102298
212.32	0.557817619
212.56	0.574351945
212.8	0.589709841
213.04	0.580626506
213.28	0.52426015
213.52	0.5202955
213.76	0.520811738
214	0.525930973
214.24	0.535727483
214.48	0.551622049
214.72	0.56543856
214.96	0.616091755
215.2	0.592306809
215.44	0.51413014
215.68	0.549440314
215.92	0.60251644
216.16	0.624716322
216.4	0.605856991
216.64	0.56862188
216.88	0.551925952
217.12	0.515961806
217.36	0.641942922
217.6	0.665533088
217.84	0.722671782
218.08	0.799428625
218.32	0.752510479
218.56	0.70148516
218.8	0.669825588
219.04	0.673371851
219.28	0.696766269
219.52	0.692586132
219.76	0.708232361
220	0.581790506
220.24	0.512701819
220.48	0.483969864
220.72	0.485712935
220.96	0.508619651
221.2	0.525230143
221.44	0.571314227
221.68	0.543360995
221.92	0.535028372
222.16	0.547370916
222.4	0.550197378
222.64	0.531106556
222.88	0.514666891
223.12	0.508695465
223.36	0.503965345
223.6	0.517888623
223.84	0.563696005
224.08	0.540510493
224.32	0.580978684
224.56	0.583299629
224.8	0.595992351
225.04	0.606255452
225.28	0.672922731
225.52	0.72610629
225.76	0.705213714
226	0.711148118
226.24	0.679194432
226.48	0.668869094
226.72	0.685075552
226.96	0.693793567
227.2	0.665815365
227.44	0.594438809
227.68	0.550366207
227.92	0.452075027
228.16	1.003641153
228.4	1.011317693
228.64	1.003583775
228.88	1.025964803
229.12	1.022605764
229.36	0.991471028
229.6	0.972360383
229.84	1.000272909
230.08	1.056747066
230.32	1.074951301
230.56	1.099157586
230.8	0.470645598
231.04	0.477055063
231.28	0.483637034
231.52	0.483094316
231.76	0.496287471
232	0.535943112
232.24	0.55834046
232.48	0.55756252
232.72	0.547794587
232.96	0.565715226
233.2	0.559017335
233.44	0.547420687
233.68	0.53285705
233.92	0.540397766
234.16	0.563336791
234.4	0.565668765
234.64	0.549525879
234.88	0.518076248
235.12	0.500774712
235.36	0.503979132
235.6	0.477191527
235.84	0.498242354
236.08	0.521507524
236.32	0.535393536
236.56	0.506657403
236.8	0.457347976
237.04	0.42371509
237.28	0.414447032
237.52	0.416376033
237.76	0.402694024
238	0.380911533
238.24	0.384601087
238.48	0.357193988
238.72	0.34186036
238.96	0.34277679
239.2	0.367981676
239.44	0.409541788
239.68	0.445793362
239.92	0.438596844
240.16	0.461395992
240.4	0.498458806
240.64	0.5225043
240.88	0.545036759
241.12	0.570663223
241.36	0.62440759
241.6	0.653109227
241.84	0.623196075
242.08	0.510510616
242.32	0.425134221
242.56	0.424726928
242.8	0.404281499
