Wl; WR; S; Ref; Info
196.00000;2.0014664e-011;2.1080500e-011;1.0532527;2.0000000
196.24000;1.9185699e-011;2.5565004e-011;1.3325031;1.0000000
196.48000;1.8679199e-011;2.3750052e-011;1.2714706;1.0000000
196.72000;2.0660253e-011;6.7124910e-012;0.32489878;1536.0000
196.96000;-7.2908731e-012;-2.3569095e-011;3.2326848;400.00000
197.20000;-3.0421563e-011;-4.3641203e-011;1.4345483;10.000000
197.44000;-1.1732128e-011;-1.6748568e-011;1.4275815;0.00000000
197.68000;6.0246737e-012;1.0835297e-011;1.7984869;0.00000000
197.92000;-1.1836357e-012;1.0295385e-011;-8.6981030;0.00000000
198.16000;-8.2842908e-013;1.0722978e-011;-12.943749;0.00000000
198.40000;1.2605843e-011;1.4909723e-011;1.1827629;0.00000000
198.64000;1.5029612e-011;1.0032229e-011;0.66749752;0.00000000
198.88000;2.2408879e-012;1.1711476e-011;5.2262658;0.00000000
199.12000;-7.2957729e-013;9.8009107e-012;-13.433684;0.00000000
199.36000;1.3544004e-011;1.8138870e-011;1.3392546;0.00000000
199.60000;1.9678015e-011;2.0982915e-011;1.0663126;0.00000000
199.84000;2.8231266e-011;1.8652195e-011;0.66069283;0.00000000
200.08000;3.0735778e-011;1.1425527e-011;0.37173379;0.00000000
200.32000;1.1069115e-011;-4.6888169e-012;-0.42359454;0.00000000
200.56000;1.0674668e-011;-1.5811579e-011;-1.4812245;0.00000000
200.80000;4.4438412e-011;1.2490512e-011;0.28107467;0.00000000
201.04000;4.4066316e-011;2.0211664e-011;0.45866471;0.00000000
201.28000;2.8070365e-011;1.2785302e-011;0.45547331;0.00000000
201.52000;1.9477962e-011;1.5842985e-011;0.81338000;0.00000000
201.76000;2.5085385e-011;1.9857131e-011;0.79158167;0.00000000
202.00000;4.0620199e-011;2.7872437e-011;0.68617184;0.00000000
202.24000;4.5678170e-011;3.0041427e-011;0.65767580;0.00000000
202.48000;2.8346798e-011;1.9160547e-011;0.67593337;0.00000000
202.72000;1.1304796e-011;1.6414376e-011;1.4519834;0.00000000
202.96000;1.5123706e-011;2.3364594e-012;0.15448987;0.00000000
203.20000;1.5899279e-011;-5.7323476e-012;-0.36054136;0.00000000
203.44000;2.1470929e-011;1.4017690e-011;0.65286838;0.00000000
203.68000;3.1711807e-011;4.0052625e-011;1.2630193;0.00000000
203.92000;3.6298849e-011;2.6078263e-011;0.71843224;0.00000000
204.16000;3.3047650e-011;8.5460873e-012;0.25859895;0.00000000
204.40000;3.3301496e-011;1.7672654e-011;0.53068649;0.00000000
204.64000;4.0102519e-011;3.2505289e-011;0.81055480;0.00000000
204.88000;3.5389579e-011;2.2981774e-011;0.64939384;0.00000000
205.12000;1.8984503e-011;2.0602484e-011;1.0852264;0.00000000
205.36000;2.8731008e-011;3.7445088e-011;1.3032988;0.00000000
205.60000;3.8173314e-011;5.9979564e-011;1.5712433;0.00000000
205.84000;3.5423196e-011;4.4681958e-011;1.2613757;0.00000000
206.08000;3.4052764e-011;3.2497579e-011;0.95433011;0.00000000
206.32000;3.5210843e-011;2.9534073e-011;0.83877777;0.00000000
206.56000;2.7806032e-011;2.5124678e-011;0.90356932;0.00000000
206.80000;1.4675899e-011;1.5810156e-011;1.0772871;0.00000000
207.04000;1.6866982e-011;1.1550008e-011;0.68477026;0.00000000
207.28000;2.8846070e-011;2.3987655e-011;0.83157446;0.00000000
207.52000;3.0043136e-011;2.1430241e-011;0.71331573;0.00000000
207.76000;1.9600583e-011;8.0357148e-012;0.40997326;0.00000000
208.00000;2.1612935e-011;8.9173314e-012;0.41259234;0.00000000
208.24000;1.5411122e-011;8.5656601e-012;0.55581028;0.00000000
208.48000;1.9474669e-011;1.1392716e-011;0.58500177;0.00000000
208.72000;3.0689119e-011;1.4383174e-011;0.46867341;0.00000000
208.96000;#N/D;#N/D;#N/D;0.00000000
209.20000;#N/D;#N/D;#N/D;0.00000000
209.44000;4.3188052e-011;4.3502169e-011;1.0072733;0.00000000
209.68000;2.9161021e-011;2.6520490e-011;0.90944995;0.00000000
209.92000;2.9042543e-011;1.8660769e-011;0.64253220;0.00000000
210.16000;2.9084179e-011;1.1462376e-011;0.39411037;0.00000000
210.40000;3.3134243e-011;1.8185835e-011;0.54885319;0.00000000
210.64000;3.4880131e-011;2.3318940e-011;0.66854509;0.00000000
210.88000;3.0903345e-011;2.1928224e-011;0.70957445;0.00000000
211.12000;2.5137583e-011;1.7333297e-011;0.68953714;0.00000000
211.36000;2.5154283e-011;1.4215239e-011;0.56512200;0.00000000
211.60000;3.5686376e-011;2.2180703e-011;0.62154540;0.00000000
211.84000;5.7206070e-011;3.7918197e-011;0.66283521;0.00000000
212.08000;4.9611117e-011;4.2330561e-011;0.85324749;0.00000000
212.32000;3.4829090e-011;2.8603867e-011;0.82126370;0.00000000
212.56000;4.6883326e-011;3.5474189e-011;0.75664830;0.00000000
212.80000;4.8875071e-011;3.6094003e-011;0.73849514;0.00000000
213.04000;4.1124101e-011;2.8695443e-011;0.69777678;0.00000000
213.28000;3.5932954e-011;2.3575229e-011;0.65608936;0.00000000
213.52000;3.4444097e-011;2.0760961e-011;0.60274365;0.00000000
213.76000;3.8110149e-011;1.7287467e-011;0.45361847;0.00000000
214.00000;4.2979305e-011;2.9250827e-011;0.68057935;0.00000000
214.24000;4.2895279e-011;2.6544885e-011;0.61882999;0.00000000
214.48000;4.4284285e-011;2.5996232e-011;0.58703064;0.00000000
214.72000;4.5748242e-011;4.1499708e-011;0.90713230;0.00000000
214.96000;4.2327254e-011;4.8429265e-011;1.1441627;0.00000000
215.20000;2.9699471e-011;2.7072827e-011;0.91155923;0.00000000
215.44000;2.3359815e-011;4.5204781e-012;0.19351515;0.00000000
215.68000;3.1182766e-011;8.5967904e-012;0.27569044;0.00000000
215.92000;3.2944745e-011;1.9963704e-011;0.60597537;0.00000000
216.16000;3.4594064e-011;3.5080306e-011;1.0140557;0.00000000
216.40000;4.0372035e-011;3.3151360e-011;0.82114662;0.00000000
216.64000;2.7151529e-011;3.0586630e-011;1.1265159;0.00000000
216.88000;3.8202831e-011;3.0480540e-011;0.79786075;0.00000000
217.12000;4.5524402e-011;2.9591870e-011;0.65002217;0.00000000
217.36000;3.5756112e-011;2.8876713e-011;0.80760216;0.00000000
217.60000;2.6167236e-011;2.4165057e-011;0.92348530;0.00000000
217.84000;3.1855551e-011;1.9806208e-011;0.62175061;0.00000000
218.08000;4.2271719e-011;2.6946746e-011;0.63746511;0.00000000
218.32000;4.4218640e-011;2.9698146e-011;0.67162051;0.00000000
218.56000;3.6178804e-011;1.2800314e-011;0.35380700;0.00000000
218.80000;2.8044469e-011;1.4840412e-011;0.52917431;0.00000000
219.04000;3.0872645e-011;1.9937260e-011;0.64579047;0.00000000
219.28000;3.7021499e-011;1.9205587e-011;0.51876848;0.00000000
219.52000;4.1466443e-011;1.7197294e-011;0.41472797;0.00000000
219.76000;4.5586934e-011;2.7113553e-011;0.59476587;0.00000000
220.00000;4.7815191e-011;3.3871958e-011;0.70839324;0.00000000
220.24000;4.4146840e-011;1.9922064e-011;0.45126818;0.00000000
220.48000;3.6707230e-011;2.3315030e-011;0.63516178;0.00000000
220.72000;1.2371162e-011;1.7900975e-011;1.4469922;0.00000000
220.96000;1.7979660e-011;1.4200156e-011;0.78979000;0.00000000
221.20000;4.1748682e-011;2.9549864e-011;0.70780353;0.00000000
221.44000;4.1485221e-011;3.3566078e-011;0.80910930;0.00000000
221.68000;3.1692899e-011;2.3295201e-011;0.73502904;0.00000000
221.92000;3.7525861e-011;2.2567794e-011;0.60139309;0.00000000
222.16000;4.1087215e-011;2.0956243e-011;0.51004292;0.00000000
222.40000;2.7660725e-011;7.7867855e-012;0.28151053;0.00000000
222.64000;3.5123730e-011;1.9456872e-011;0.55395232;0.00000000
222.88000;2.5987224e-011;1.1975356e-011;0.46081706;0.00000000
223.12000;3.7335620e-011;3.3882517e-011;0.90751184;0.00000000
223.36000;4.4819756e-011;3.0433311e-011;0.67901554;0.00000000
223.60000;4.8573733e-011;3.1486644e-011;0.64822368;0.00000000
223.84000;#N/D;#N/D;#N/D;0.00000000
224.08000;#N/D;#N/D;#N/D;0.00000000
224.32000;3.6036029e-011;3.1857742e-011;0.88405249;0.00000000
224.56000;3.4157549e-011;3.9117379e-011;1.1452045;0.00000000
224.80000;4.3078648e-011;4.9043056e-011;1.1384539;0.00000000
225.04000;4.2352781e-011;4.4329715e-011;1.0466778;0.00000000
225.28000;3.4678629e-011;3.3990727e-011;0.98016350;0.00000000
225.52000;3.3993991e-011;1.6834743e-011;0.49522702;0.00000000
225.76000;3.4670820e-011;1.5850823e-011;0.45718052;0.00000000
226.00000;4.1388232e-011;1.5964294e-011;0.38572060;0.00000000
226.24000;3.2353288e-011;1.8261025e-011;0.56442562;0.00000000
226.48000;2.4029609e-011;3.2344214e-011;1.3460150;0.00000000
226.72000;2.9118600e-011;4.0276756e-011;1.3831968;0.00000000
226.96000;2.9530253e-011;2.0672468e-011;0.70004371;0.00000000
227.20000;2.2834247e-011;1.3888699e-011;0.60823987;0.00000000
227.44000;3.6462853e-011;2.9775492e-011;0.81659798;0.00000000
227.68000;4.2767982e-011;1.9073076e-011;0.44596623;0.00000000
227.92000;4.3210670e-011;2.1738496e-011;0.50308167;0.00000000
228.16000;3.7636404e-011;2.5121422e-011;0.66747667;0.00000000
228.40000;3.8221401e-011;2.4482523e-011;0.64054490;0.00000000
228.64000;3.5075614e-011;1.9559704e-011;0.55764395;0.00000000
228.88000;2.6521183e-011;1.9281101e-011;0.72700758;0.00000000
229.12000;2.1648654e-011;2.4738891e-011;1.1427450;0.00000000
229.36000;2.0373463e-011;2.1716970e-011;1.0659440;0.00000000
229.60000;3.3713670e-011;3.4233192e-011;1.0154098;0.00000000
229.84000;3.5177492e-011;3.6701759e-011;1.0433308;0.00000000
230.08000;3.0324491e-011;3.0011278e-011;0.98967128;0.00000000
230.32000;2.4319262e-011;2.3024541e-011;0.94676152;0.00000000
230.56000;3.1769030e-011;1.0201487e-011;0.32111421;0.00000000
230.80000;3.8005138e-011;1.1566589e-011;0.30434276;0.00000000
231.04000;4.2757697e-011;2.1809215e-011;0.51006523;0.00000000
231.28000;4.8623030e-011;2.5664094e-011;0.52781765;0.00000000
231.52000;4.6276995e-011;2.5700330e-011;0.55535867;0.00000000
231.76000;4.8223817e-011;1.6893926e-011;0.35032328;0.00000000
232.00000;4.0714820e-011;2.3323259e-012;0.057284446;0.00000000
232.24000;5.1059091e-011;2.6182425e-011;0.51278674;0.00000000
232.48000;5.6445434e-011;3.9390204e-011;0.69784571;0.00000000
232.72000;4.9359145e-011;3.4578340e-011;0.70054576;0.00000000
232.96000;4.7558144e-011;3.7493001e-011;0.78836132;0.00000000
233.20000;4.7079220e-011;4.5580846e-011;0.96817334;0.00000000
233.44000;4.1828546e-011;4.3725128e-011;1.0453418;0.00000000
233.68000;3.8464576e-011;3.0278391e-011;0.78717602;0.00000000
233.92000;3.9390848e-011;1.7608153e-011;0.44701127;0.00000000
234.16000;4.3837579e-011;3.4089435e-011;0.77763041;0.00000000
234.40000;4.3601521e-011;2.9428303e-011;0.67493752;0.00000000
234.64000;3.3867181e-011;1.7421798e-011;0.51441534;0.00000000
234.88000;3.0879037e-011;9.5927068e-012;0.31065434;0.00000000
235.12000;3.9393140e-011;2.6134600e-011;0.66343024;0.00000000
235.36000;4.2600495e-011;3.5077486e-011;0.82340561;0.00000000
235.60000;4.0154463e-011;2.6690810e-011;0.66470344;0.00000000
235.84000;4.4558605e-011;2.0132708e-011;0.45182535;0.00000000
236.08000;5.3253558e-011;2.2387073e-011;0.42038644;0.00000000
236.32000;5.4066852e-011;3.9746544e-011;0.73513701;0.00000000
236.56000;3.8807179e-011;4.0587374e-011;1.0458728;0.00000000
236.80000;3.5215984e-011;4.2127468e-011;1.1962599;0.00000000
237.04000;4.0469998e-011;3.9640535e-011;0.97950427;0.00000000
237.28000;4.7535999e-011;4.1840830e-011;0.88019249;0.00000000
237.52000;3.9619616e-011;3.3596590e-011;0.84797869;0.00000000
237.76000;3.0331522e-011;2.1639379e-011;0.71342874;0.00000000
238.00000;2.8894518e-011;1.7021764e-011;0.58910011;0.00000000
238.24000;2.6556938e-011;1.6187395e-011;0.60953544;0.00000000
238.48000;3.6247949e-011;1.9410315e-011;0.53548726;0.00000000
238.72000;3.3533402e-011;1.8403439e-011;0.54880917;0.00000000
238.96000;2.4902230e-011;1.4975764e-011;0.60138246;0.00000000
239.20000;3.1555320e-011;1.1407661e-011;0.36151308;0.00000000
239.44000;4.1767675e-011;1.8074308e-011;0.43273435;0.00000000
239.68000;5.1579678e-011;2.8901421e-011;0.56032574;0.00000000
239.92000;4.6665977e-011;3.4348290e-011;0.73604566;0.00000000
240.16000;3.9069067e-011;3.6606623e-011;0.93697203;0.00000000
240.40000;4.5396752e-011;4.1144053e-011;0.90632152;0.00000000
240.64000;4.6945814e-011;4.4342418e-011;0.94454466;0.00000000
240.88000;4.5896483e-011;5.2931034e-011;1.1532699;0.00000000
241.12000;4.7811852e-011;3.7678941e-011;0.78806697;0.00000000
241.36000;6.1678715e-011;4.7453574e-011;0.76936710;0.00000000
241.60000;5.2197515e-011;3.9379586e-011;0.75443410;0.00000000
241.84000;5.1237411e-011;3.6227176e-011;0.70704542;0.00000000
242.08000;#N/D;#N/D;#N/D;0.00000000
242.32000;#N/D;#N/D;#N/D;0.00000000
242.56000;4.3222107e-011;4.4845877e-011;1.0375680;0.00000000
242.80000;5.2364248e-011;5.0506705e-011;0.96452651;0.00000000
243.04000;4.3525820e-011;4.1258978e-011;0.94791960;0.00000000
243.28000;2.9830604e-011;2.2111808e-011;0.74124573;0.00000000
243.52000;2.2006994e-011;1.0974980e-011;0.49870420;0.00000000
