WaveLenght (nm)	Skylarr
350	0.596290464
350.01	0.596264008
350.02	0.596237793
350.03	0.596211475
350.04	0.596185389
350.05	0.596161154
350.06	0.596137224
350.07	0.596113768
350.08	0.596088491
350.09	0.596063756
350.1	0.596037914
350.11	0.596010738
350.12	0.595980758
350.13	0.595950349
350.14	0.59591733
350.15	0.59588299
350.16	0.595846026
350.17	0.595811552
350.18	0.595776749
350.19	0.595743893
350.2	0.595713097
350.21	0.595683812
350.22	0.595658016
350.23	0.595633228
350.24	0.595611589
350.25	0.59559018
350.26	0.595569751
350.27	0.595549555
350.28	0.595528644
350.29	0.595505146
350.3	0.595478566
350.31	0.595448835
350.32	0.595417078
350.33	0.595382719
350.34	0.595347724
350.35	0.59531361
350.36	0.595280883
350.37	0.595250319
350.38	0.595221206
350.39	0.595193647
350.4	0.595166701
350.41	0.595141797
350.42	0.595117617
350.43	0.595092756
350.44	0.59506672
350.45	0.595041054
350.46	0.595014261
350.47	0.594986121
350.48	0.594958599
350.49	0.594931121
350.5	0.594905141
350.51	0.594880348
350.52	0.594856897
350.53	0.59483316
350.54	0.594806809
350.55	0.594779226
350.56	0.594749879
350.57	0.594718657
350.58	0.594686857
350.59	0.594653943
350.6	0.594621014
350.61	0.594589625
350.62	0.59455923
350.63	0.594531673
350.64	0.594506979
350.65	0.594483719
350.66	0.594461578
350.67	0.594439784
350.68	0.594418537
350.69	0.594395238
350.7	0.594369153
350.71	0.594342604
350.72	0.59431275
350.73	0.594281356
350.74	0.594250338
350.75	0.594217112
350.76	0.594183976
350.77	0.594153508
350.78	0.594121911
350.79	0.59409309
350.8	0.594062181
350.81	0.59403235
350.82	0.594003442
350.83	0.593976586
350.84	0.593949858
350.85	0.593924393
350.86	0.593899988
350.87	0.59387505
350.88	0.593848751
350.89	0.593822696
350.9	0.593795879
350.91	0.593768714
350.92	0.593739313
350.93	0.593709874
350.94	0.593678765
350.95	0.593647567
350.96	0.5936159
350.97	0.593585286
350.98	0.593557149
350.99	0.593529864
351	0.593505514
351.01	0.593483204
351.02	0.5934619
351.03	0.593441357
351.04	0.593422049
351.05	0.593402078
351.06	0.593380797
351.07	0.593355455
351.08	0.593328963
351.09	0.593299934
351.1	0.593268784
351.11	0.593233995
351.12	0.593193965
351.13	0.59315249
351.14	0.593108673
351.15	0.593068548
351.16	0.593033581
351.17	0.59300354
351.18	0.592977248
351.19	0.592952892
351.2	0.592929843
351.21	0.59290943
351.22	0.592887484
351.23	0.592864468
351.24	0.592839409
351.25	0.59281212
351.26	0.592783247
351.27	0.592753685
351.28	0.592724165
351.29	0.592693655
351.3	0.592662218
351.31	0.592633123
351.32	0.592603548
351.33	0.592574083
351.34	0.592545182
351.35	0.59251688
351.36	0.592488218
351.37	0.592461601
351.38	0.592433192
351.39	0.592405208
351.4	0.592378072
351.41	0.592350195
351.42	0.592320513
351.43	0.592289187
351.44	0.592253968
351.45	0.592218999
351.46	0.592183424
351.47	0.592148197
351.48	0.592113492
351.49	0.592082427
351.5	0.592053183
351.51	0.592029288
351.52	0.592005905
351.53	0.591986932
351.54	0.59196682
351.55	0.591946465
351.56	0.591921213
351.57	0.591890458
351.58	0.591855863
351.59	0.591815406
351.6	0.591771723
351.61	0.591727538
351.62	0.591686818
351.63	0.59165338
351.64	0.591627775
351.65	0.59160646
351.66	0.59158784
351.67	0.591569541
351.68	0.591550488
351.69	0.591529542
351.7	0.591506495
351.71	0.591482314
351.72	0.591456474
351.73	0.591429362
351.74	0.591400265
351.75	0.591371405
351.76	0.591342448
351.77	0.591314474
351.78	0.591286642
351.79	0.591258699
351.8	0.591230903
351.81	0.591204054
351.82	0.591177036
351.83	0.591152425
351.84	0.591127469
351.85	0.591102813
351.86	0.591077973
351.87	0.591053343
351.88	0.59103031
351.89	0.591008798
351.9	0.590986687
351.91	0.590964212
351.92	0.590939307
351.93	0.590911103
351.94	0.590880655
351.95	0.590848555
351.96	0.590815538
351.97	0.590783351
351.98	0.59075401
351.99	0.590726751
352	0.590702495
352.01	0.590680257
352.02	0.590659983
352.03	0.590639413
352.04	0.590619189
352.05	0.59059625
352.06	0.590571283
352.07	0.590544048
352.08	0.590514309
352.09	0.590482007
352.1	0.590449235
352.11	0.590416163
352.12	0.590383963
352.13	0.590355303
352.14	0.590329193
352.15	0.590307221
352.16	0.590286222
352.17	0.590266772
352.18	0.590244818
352.19	0.590222841
352.2	0.590198599
352.21	0.590170513
352.22	0.590139952
352.23	0.590106163
352.24	0.590070767
352.25	0.590034137
352.26	0.589998939
352.27	0.589965372
352.28	0.589935496
352.29	0.589908896
352.3	0.589884326
352.31	0.589862624
352.32	0.589841772
352.33	0.58982159
352.34	0.589802758
352.35	0.58978341
352.36	0.589763672
352.37	0.5897433
352.38	0.589721471
352.39	0.589696231
352.4	0.589668408
352.41	0.589640195
352.42	0.589611159
352.43	0.589582534
352.44	0.589550731
352.45	0.589521842
352.46	0.589496086
352.47	0.589472473
352.48	0.589449704
352.49	0.589425704
352.5	0.589397255
352.51	0.589367404
352.52	0.589327978
352.53	0.589286025
352.54	0.589239109
352.55	0.589195086
352.56	0.58915427
352.57	0.589120062
352.58	0.589092012
352.59	0.589069278
352.6	0.589051591
352.61	0.589036915
352.62	0.589023546
352.63	0.589011151
352.64	0.588998114
352.65	0.588986245
352.66	0.58897356
352.67	0.58895893
352.68	0.58894265
352.69	0.588925125
352.7	0.588901001
352.71	0.588868782
352.72	0.588824316
352.73	0.588768759
352.74	0.588710267
352.75	0.58865404
352.76	0.588609383
352.77	0.588575287
352.78	0.58855147
352.79	0.588533875
352.8	0.588520822
352.81	0.588507278
352.82	0.588493038
352.83	0.588476385
352.84	0.588457763
352.85	0.588435368
352.86	0.588410444
352.87	0.588382194
352.88	0.58834969
352.89	0.588315238
352.9	0.588281415
352.91	0.588248997
352.92	0.588219951
352.93	0.588192462
352.94	0.588167567
352.95	0.58814356
352.96	0.588122171
352.97	0.588101976
352.98	0.588081866
352.99	0.58806182
353	0.58803955
353.01	0.588014818
353.02	0.587988248
353.03	0.587960695
353.04	0.587931927
353.05	0.587903103
353.06	0.587872861
353.07	0.587843628
353.08	0.587814223
353.09	0.587786464
353.1	0.587757215
353.11	0.587728042
353.12	0.587698146
353.13	0.58766775
353.14	0.587638629
353.15	0.587612366
353.16	0.587585228
353.17	0.587559385
353.18	0.58753298
353.19	0.58750682
353.2	0.587482245
353.21	0.587459146
353.22	0.587436023
353.23	0.587412617
353.24	0.587387593
353.25	0.587361162
353.26	0.587332432
353.27	0.587300698
