Wl; WR; S; Ref; Info
196.00000;1.4680021e-011;-3.4811231e-012;-0.23713339;2.0000000
196.24000;6.2972944e-012;-1.1254384e-011;-1.7871777;1.0000000
196.48000;1.7560385e-011;5.6927448e-012;0.32418109;1.0000000
196.72000;2.3128253e-011;2.1893029e-011;0.94659239;1536.0000
196.96000;1.6430258e-011;1.6447664e-011;1.0010594;335.00000
197.20000;6.7695849e-012;2.3209435e-011;3.4284872;10.000000
197.44000;5.9333830e-012;6.8319922e-012;1.1514497;0.00000000
197.68000;6.4717195e-012;-8.2971211e-012;-1.2820582;0.00000000
197.92000;1.5095190e-012;-7.7866093e-012;-5.1583381;0.00000000
198.16000;-6.3919400e-012;-1.4535478e-011;2.2740322;0.00000000
198.40000;-1.6750326e-011;-1.6007153e-011;0.95563230;0.00000000
198.64000;-8.9559155e-012;-1.4570754e-011;1.6269419;0.00000000
198.88000;-1.2864595e-011;-8.5149310e-012;0.66188878;0.00000000
199.12000;-1.0715027e-011;-1.7509820e-013;0.016341368;0.00000000
199.36000;-3.3739472e-012;-9.3952550e-013;0.27846479;0.00000000
199.60000;1.9506969e-012;-9.1889238e-012;-4.7105851;0.00000000
199.84000;1.9218913e-011;-1.6606936e-012;-0.086409337;0.00000000
200.08000;3.7418968e-011;9.3598265e-012;0.25013588;0.00000000
200.32000;3.6161492e-011;-1.0394376e-011;-0.28744323;0.00000000
200.56000;4.0570671e-011;-3.8754871e-011;-0.95524352;0.00000000
200.80000;4.7432793e-011;2.1957782e-012;0.046292408;0.00000000
201.04000;5.2225915e-011;9.0844636e-012;0.17394551;0.00000000
201.28000;5.8267498e-011;1.1239527e-011;0.19289530;0.00000000
201.52000;5.1656508e-011;1.2844446e-011;0.24865106;0.00000000
201.76000;4.1830509e-011;1.4661734e-011;0.35050336;0.00000000
202.00000;5.0908388e-011;2.8674106e-011;0.56324913;0.00000000
202.24000;5.9362617e-011;3.5469530e-011;0.59750617;0.00000000
202.48000;4.3855694e-011;1.4868868e-011;0.33904077;0.00000000
202.72000;3.7082946e-011;-5.7531574e-013;-0.015514294;0.00000000
202.96000;3.1378455e-011;1.8034180e-012;0.057473128;0.00000000
203.20000;1.7687899e-011;9.9043199e-013;0.055994892;0.00000000
203.44000;2.6795102e-011;1.6263749e-011;0.60696724;0.00000000
203.68000;4.0066421e-011;2.8487319e-011;0.71100233;0.00000000
203.92000;3.9697947e-011;1.4002535e-011;0.35272692;0.00000000
204.16000;3.1593890e-011;3.2252802e-012;0.10208557;0.00000000
204.40000;3.1824995e-011;1.0433363e-011;0.32783550;0.00000000
204.64000;4.4605509e-011;1.7573822e-011;0.39398321;0.00000000
204.88000;5.1372313e-011;1.2545109e-011;0.24419980;0.00000000
205.12000;2.7554639e-011;8.1160308e-012;0.29454317;0.00000000
205.36000;3.7473629e-011;1.4472070e-011;0.38619346;0.00000000
205.60000;2.9368053e-011;6.7475931e-012;0.22975964;0.00000000
205.84000;2.5195589e-011;5.2249374e-012;0.20737509;0.00000000
206.08000;3.8582074e-011;5.7285984e-012;0.14847824;0.00000000
206.32000;5.9638439e-011;7.0333070e-012;0.11793245;0.00000000
206.56000;6.1519416e-011;1.1184009e-011;0.18179641;0.00000000
206.80000;4.1990341e-011;1.3147247e-011;0.31310169;0.00000000
207.04000;3.1913705e-011;6.6870161e-012;0.20953431;0.00000000
207.28000;2.8821296e-011;1.1693891e-011;0.40573787;0.00000000
207.52000;1.4171603e-011;7.3937620e-012;0.52173083;0.00000000
207.76000;3.8448837e-011;5.3242911e-012;0.13847730;0.00000000
208.00000;4.2742496e-011;2.3684802e-011;0.55412773;0.00000000
208.24000;4.4278635e-011;2.8043858e-011;0.63334966;0.00000000
208.48000;3.7274176e-011;1.9488197e-011;0.52283374;0.00000000
208.72000;2.4836864e-011;9.9775048e-012;0.40172161;0.00000000
208.96000;#N/D;#N/D;#N/D;0.00000000
209.20000;#N/D;#N/D;#N/D;0.00000000
209.44000;2.9878598e-011;3.8075402e-012;0.12743370;0.00000000
209.68000;2.1227972e-011;1.2276959e-011;0.57833874;0.00000000
209.92000;4.1478450e-011;2.0439128e-011;0.49276500;0.00000000
210.16000;4.6452027e-011;-3.9219846e-013;-0.0084430861;0.00000000
210.40000;4.4811386e-011;8.2305131e-012;0.18367013;0.00000000
210.64000;4.2199727e-011;1.8834526e-011;0.44631868;0.00000000
210.88000;4.3152849e-011;1.4520189e-011;0.33648275;0.00000000
211.12000;4.5459074e-011;5.2347534e-012;0.11515310;0.00000000
211.36000;4.5244665e-011;6.9118604e-012;0.15276631;0.00000000
211.60000;4.7835608e-011;2.1969702e-011;0.45927507;0.00000000
211.84000;4.1349620e-011;1.5550772e-011;0.37608016;0.00000000
212.08000;2.6312410e-011;5.6406244e-012;0.21437126;0.00000000
212.32000;3.5507540e-011;4.8886074e-012;0.13767801;0.00000000
212.56000;4.0750776e-011;7.2815227e-012;0.17868427;0.00000000
212.80000;3.8904944e-011;7.3507954e-012;0.18894245;0.00000000
213.04000;3.1818133e-011;-4.6149873e-012;-0.14504268;0.00000000
213.28000;2.6760334e-011;-1.0391564e-011;-0.38831965;0.00000000
213.52000;3.4915986e-011;1.2300137e-011;0.35227809;0.00000000
213.76000;5.3883886e-011;3.5934378e-011;0.66688542;0.00000000
214.00000;3.6641079e-011;1.3820525e-011;0.37718663;0.00000000
214.24000;2.5363875e-011;-8.0854546e-012;-0.31877837;0.00000000
214.48000;4.0086700e-011;7.3787392e-012;0.18406951;0.00000000
214.72000;3.7251865e-011;7.5015324e-012;0.20137334;0.00000000
214.96000;3.7218186e-011;1.2046881e-011;0.32368266;0.00000000
215.20000;4.7373873e-011;1.5285068e-011;0.32264764;0.00000000
215.44000;5.4722023e-011;1.6576022e-011;0.30291318;0.00000000
215.68000;4.3157309e-011;1.3826704e-011;0.32037919;0.00000000
215.92000;2.0783455e-011;-3.1834844e-012;-0.15317397;0.00000000
216.16000;3.7771338e-011;1.0120021e-011;0.26792859;0.00000000
216.40000;6.4842299e-011;1.0079916e-011;0.15545279;0.00000000
216.64000;4.4758926e-011;1.6107881e-011;0.35988086;0.00000000
216.88000;3.7094208e-011;3.2078652e-011;0.86478871;0.00000000
217.12000;3.5099933e-011;3.3214901e-011;0.94629530;0.00000000
217.36000;3.7322040e-011;1.7634741e-011;0.47250206;0.00000000
217.60000;3.4069505e-011;1.4907080e-012;0.043754906;0.00000000
217.84000;3.0621780e-011;2.1765085e-013;0.0071077139;0.00000000
218.08000;4.3303019e-011;8.6789894e-012;0.20042458;0.00000000
218.32000;4.4271008e-011;1.8917077e-013;0.0042730170;0.00000000
218.56000;5.6127895e-011;8.9097357e-012;0.15873989;0.00000000
218.80000;5.4878577e-011;2.2062813e-011;0.40202962;0.00000000
219.04000;4.2779192e-011;1.4495925e-011;0.33885459;0.00000000
219.28000;3.5668750e-011;6.9150043e-012;0.19386730;0.00000000
219.52000;3.9191251e-011;8.6395368e-012;0.22044555;0.00000000
219.76000;3.7123882e-011;7.1826459e-012;0.19347777;0.00000000
220.00000;3.0483105e-011;9.4749998e-012;0.31082791;0.00000000
220.24000;3.7996931e-011;2.5781341e-011;0.67851116;0.00000000
220.48000;4.9308949e-011;1.6675620e-011;0.33818649;0.00000000
220.72000;4.7476342e-011;1.1270944e-011;0.23740127;0.00000000
220.96000;2.8783397e-011;6.7525139e-012;0.23459753;0.00000000
221.20000;4.9096560e-011;1.8718825e-011;0.38126550;0.00000000
221.44000;4.3676008e-011;7.5431931e-012;0.17270793;0.00000000
221.68000;3.1231599e-011;-5.0567819e-012;-0.16191236;0.00000000
221.92000;2.8580623e-011;-5.5756090e-012;-0.19508354;0.00000000
222.16000;3.4616104e-011;-7.7469789e-013;-0.022379696;0.00000000
222.40000;3.8748078e-011;-4.8724764e-013;-0.012574756;0.00000000
222.64000;3.5328227e-011;-1.9376036e-012;-0.054845765;0.00000000
222.88000;4.0217770e-011;-1.3683761e-012;-0.034024168;0.00000000
223.12000;3.9410898e-011;-1.1699494e-011;-0.29685936;0.00000000
223.36000;5.3664303e-011;2.4118924e-011;0.44944073;0.00000000
223.60000;5.3765209e-011;3.2452738e-011;0.60360108;0.00000000
223.84000;#N/D;#N/D;#N/D;0.00000000
224.08000;#N/D;#N/D;#N/D;0.00000000
224.32000;4.9262497e-011;1.4381646e-011;0.29193903;0.00000000
224.56000;3.8867772e-011;-5.7201334e-013;-0.014716906;0.00000000
224.80000;2.2191634e-011;-9.7404884e-012;-0.43892615;0.00000000
225.04000;3.9098945e-011;-4.6123434e-012;-0.11796593;0.00000000
225.28000;5.2825973e-011;1.8360523e-011;0.34756621;0.00000000
225.52000;5.0438720e-011;1.4608605e-011;0.28963077;0.00000000
225.76000;3.2598108e-011;5.5134723e-012;0.16913473;0.00000000
226.00000;4.0572837e-011;9.4758228e-012;0.23355091;0.00000000
226.24000;5.1870446e-011;1.4282877e-011;0.27535674;0.00000000
226.48000;6.1394256e-011;2.1145568e-011;0.34442257;0.00000000
226.72000;5.6608500e-011;1.7907970e-011;0.31634773;0.00000000
226.96000;2.8988011e-011;-4.2865821e-012;-0.14787431;0.00000000
227.20000;3.6422037e-011;4.9404528e-012;0.13564460;0.00000000
227.44000;5.0397414e-011;1.1598042e-011;0.23013168;0.00000000
227.68000;4.9404004e-011;2.7608335e-011;0.55882787;0.00000000
227.92000;4.3928328e-011;1.1127669e-011;0.25331420;0.00000000
228.16000;5.7355808e-011;1.2398759e-011;0.21617268;0.00000000
228.40000;4.9570737e-011;1.2421968e-011;0.25059075;0.00000000
228.64000;3.3948192e-011;7.9306681e-012;0.23361091;0.00000000
228.88000;3.2148239e-011;4.3222777e-012;0.13444835;0.00000000
229.12000;3.5773414e-011;-1.4932937e-012;-0.041743115;0.00000000
229.36000;2.6645828e-011;-1.3139492e-011;-0.49311628;0.00000000
229.60000;1.1788289e-011;-1.1825764e-011;-1.0031790;0.00000000
229.84000;1.6284820e-011;7.9604330e-012;0.48882537;0.00000000
230.08000;2.0547253e-011;1.3247764e-011;0.64474625;0.00000000
230.32000;3.0315292e-011;8.0147997e-012;0.26438141;0.00000000
230.56000;2.7534139e-011;2.5335368e-012;0.092014383;0.00000000
230.80000;3.0369911e-011;5.2311504e-012;0.17224780;0.00000000
231.04000;4.2826664e-011;1.4825238e-011;0.34616841;0.00000000
231.28000;5.0652434e-011;1.8593124e-011;0.36707266;0.00000000
231.52000;4.8815238e-011;1.0466825e-011;0.21441716;0.00000000
231.76000;4.6548367e-011;1.4423756e-011;0.30986599;0.00000000
232.00000;2.4027038e-011;-8.1263693e-012;-0.33821769;0.00000000
232.24000;2.6851065e-011;-1.5631218e-011;-0.58214519;0.00000000
232.48000;4.1907395e-011;-4.8377157e-012;-0.11543824;0.00000000
232.72000;4.0281185e-011;5.0357088e-012;0.12501392;0.00000000
232.96000;4.0202295e-011;3.1676330e-012;0.078792343;0.00000000
233.20000;4.8536870e-011;8.5845453e-012;0.17686648;0.00000000
233.44000;4.8719951e-011;1.7828542e-011;0.36593924;0.00000000
233.68000;3.3633809e-011;1.0441483e-011;0.31044604;0.00000000
233.92000;3.1302470e-011;8.1471286e-012;0.26027111;0.00000000
234.16000;3.8172262e-011;4.5076995e-012;0.11808835;0.00000000
234.40000;3.3918485e-011;2.8912726e-012;0.085241796;0.00000000
234.64000;4.0279689e-011;-4.0256747e-012;-0.099943041;0.00000000
234.88000;3.8508507e-011;-5.9482211e-012;-0.15446512;0.00000000
235.12000;3.9783161e-011;1.7048583e-012;0.042853767;0.00000000
235.36000;4.1575960e-011;9.0355515e-012;0.21732635;0.00000000
235.60000;4.5795693e-011;9.9070463e-012;0.21633140;0.00000000
235.84000;5.1984378e-011;1.2309109e-011;0.23678478;0.00000000
236.08000;5.0307843e-011;2.4539011e-011;0.48777704;0.00000000
236.32000;5.9836706e-011;2.6205281e-011;0.43794657;0.00000000
236.56000;5.0550402e-011;1.9523983e-011;0.38622804;0.00000000
236.80000;6.2555170e-011;2.3361394e-011;0.37345265;0.00000000
237.04000;3.1381765e-011;6.3466772e-012;0.20224093;0.00000000
237.28000;3.7639636e-011;5.8501761e-012;0.15542595;0.00000000
237.52000;4.5749286e-011;1.2262731e-011;0.26804203;0.00000000
237.76000;3.8897797e-011;1.1910920e-011;0.30621065;0.00000000
238.00000;4.4244744e-011;8.5246768e-012;0.19267095;0.00000000
238.24000;6.4979238e-011;9.3524075e-012;0.14392916;0.00000000
238.48000;4.4993311e-011;5.5514023e-012;0.12338283;0.00000000
238.72000;3.0492939e-011;6.8757937e-012;0.22548806;0.00000000
238.96000;3.8758701e-011;1.9014079e-011;0.49057576;0.00000000
239.20000;5.0904190e-011;1.2838950e-011;0.25221794;0.00000000
239.44000;5.4066790e-011;1.8435647e-011;0.34097913;0.00000000
239.68000;5.1425596e-011;2.5018909e-011;0.48650692;0.00000000
239.92000;6.1609782e-011;3.4089376e-011;0.55331109;0.00000000
240.16000;7.4329326e-011;4.2035919e-011;0.56553612;0.00000000
240.40000;6.2797162e-011;3.0566004e-011;0.48674180;0.00000000
240.64000;3.5077121e-011;-2.7183115e-012;-0.077495284;0.00000000
240.88000;3.1257446e-011;4.6758068e-013;0.014959018;0.00000000
241.12000;3.2703483e-011;3.3601401e-012;0.10274564;0.00000000
241.36000;3.9240491e-011;8.3235790e-013;0.021211710;0.00000000
241.60000;3.2541474e-011;-1.1969142e-012;-0.036781190;0.00000000
241.84000;2.7981150e-011;6.2972120e-013;0.022505194;0.00000000
242.08000;#N/D;#N/D;#N/D;0.00000000
242.32000;#N/D;#N/D;#N/D;0.00000000
242.56000;4.6839256e-011;1.3851119e-011;0.29571604;0.00000000
242.80000;5.8896644e-011;1.4862300e-011;0.25234544;0.00000000
243.04000;5.2700203e-011;6.5252225e-012;0.12381779;0.00000000
243.28000;5.0802950e-011;1.1814519e-011;0.23255577;0.00000000
243.52000;5.8502836e-011;1.4278664e-011;0.24406790;0.00000000
243.76000;5.6119949e-011;6.1004205e-012;0.10870324;0.00000000
244.00000;5.3405952e-011;4.9987582e-012;0.093599272;0.00000000
244.24000;4.6795643e-011;1.2279650e-012;0.026241012;0.00000000
244.48000;4.5657763e-011;5.9272813e-012;0.12981979;0.00000000
244.72000;4.6509818e-011;1.7212022e-011;0.37007287;0.00000000
244.96000;4.0495060e-011;1.5296423e-011;0.37773554;0.00000000
245.20000;3.7808477e-011;-2.4709530e-014;-0.00065354470;0.00000000
245.44000;3.0959725e-011;4.9257563e-013;0.015910207;0.00000000
245.68000;5.2562316e-011;2.0793549e-011;0.39559804;0.00000000
245.92000;4.7705840e-011;1.2278454e-011;0.25737843;0.00000000
246.16000;4.4791165e-011;7.7925368e-012;0.17397486;0.00000000
246.40000;4.3506753e-011;5.7279032e-012;0.13165550;0.00000000
246.64000;5.4770822e-011;1.9388454e-011;0.35399239;0.00000000
246.88000;5.6332817e-011;1.5016491e-011;0.26656737;0.00000000
247.12000;4.2121534e-011;-1.4567709e-011;-0.34584944;0.00000000
247.36000;4.5034404e-011;-1.5209361e-011;-0.33772759;0.00000000
247.60000;5.7931992e-011;1.2261765e-011;0.21165792;0.00000000
247.84000;4.4853655e-011;6.9180255e-012;0.15423549;0.00000000
248.08000;4.2903320e-011;5.3282381e-012;0.12419174;0.00000000
248.32000;2.9122322e-011;-8.1148906e-012;-0.27864847;0.00000000
248.56000;3.9881958e-011;6.8567055e-012;0.17192500;0.00000000
248.80000;4.8333560e-011;1.6735565e-011;0.34625144;0.00000000
249.04000;3.7522208e-011;3.7953072e-012;0.10114829;0.00000000
249.28000;2.6998424e-011;-9.4708163e-012;-0.35079145;0.00000000
249.52000;3.8039622e-011;-3.7396203e-012;-0.098308554;0.00000000
249.76000;5.3497977e-011;1.8058264e-012;0.033755040;0.00000000
250.00000;-0.058731608;1.1431031e-011;-1.9463167e-010;0.00000000
250.24000;-0.052344776;2.0874080e-011;-3.9878057e-010;0.00000000
250.48000;-0.043597294;1.4554283e-011;-3.3383455e-010;0.00000000
250.72000;-0.057603537;5.7035368e-012;-9.9013657e-011;0.00000000
250.96000;-0.058844368;5.3111507e-013;-9.0257587e-012;0.00000000
251.20000;-0.051810355;2.3688441e-012;-4.5721441e-011;0.00000000
251.44000;-0.056090242;8.3647921e-012;-1.4913097e-010;0.00000000
251.68000;-0.060340622;5.1425330e-012;-8.5225057e-011;0.00000000
251.92000;-0.046069776;-8.8255271e-012;1.9156870e-010;0.00000000
252.16000;-0.055069301;2.2567069e-012;-4.0979400e-011;0.00000000
252.40000;-0.056895092;1.1937267e-011;-2.0981189e-010;0.00000000
252.64000;-0.050310948;8.2192348e-012;-1.6336871e-010;0.00000000
252.88000;-0.048144158;1.4015064e-011;-2.9110623e-010;0.00000000
253.12000;-0.052491698;1.9195549e-011;-3.6568734e-010;0.00000000
253.36000;-0.043052944;7.7859035e-012;-1.8084486e-010;0.00000000
253.60000;-0.042790081;-5.9980067e-012;1.4017283e-010;0.00000000
253.84000;-0.051253815;-9.8756642e-012;1.9268154e-010;0.00000000
254.08000;-0.047653226;-1.1052504e-012;2.3193612e-011;0.00000000
254.32000;-0.042511018;1.7411754e-011;-4.0958214e-010;0.00000000
254.56000;-0.047999153;6.7331907e-012;-1.4027728e-010;0.00000000
254.80000;-0.031372202;-1.0355876e-012;3.3009720e-011;0.00000000
255.04000;-0.042561312;3.2821673e-012;-7.7116215e-011;0.00000000
255.28000;-0.064513906;1.7895880e-011;-2.7739571e-010;0.00000000
255.52000;-0.078879125;1.4716753e-011;-1.8657349e-010;0.00000000
