
File_Name            direct                diffuse             adjacent  
output1               655.042             240.057             112.794                 
output10               956.612             212.845             104.401                 
output100               473.778              12.855               4.864                 
output101               438.534              11.666               4.430                 
output102               441.318              11.535               4.394                 
output103               422.831              10.852               4.147                 
output104               406.240              10.222               3.920                 
output105               490.254              12.137               4.667                 
output106               422.848              10.290               3.968                 
output107               157.586               3.770               1.458                 
output108               158.041               3.701               1.436                 
output109               206.717               4.780               1.859                 
output11               992.878             211.699             103.823                 
output110               121.950               2.765               1.078                 
output111               140.479               3.128               1.223                 
File_Name            direct                diffuse             adjacent  
output112               236.599               5.182               2.032                 
output113               272.586               5.879               2.310                 
output114               384.648               8.152               3.211                 
output115               431.421               9.004               3.555                 
output116               430.195               8.836               3.496                 
output117               439.257               8.878               3.519                 
output118               486.676               9.681               3.846                 
output119               512.983              10.050               3.999                 
output12              1001.956             205.130             100.448                 
output120               516.759               9.969               3.974                 
output121               508.020               9.653               3.854                 
output122               501.737               9.391               3.756                 
output123               497.466               9.173               3.674                 
output124               494.904               8.993               3.607                 
output125               489.501               8.766               3.520                 
output126               484.436               8.552               3.438                 
File_Name            direct                diffuse             adjacent  
output127               481.768               8.385               3.375                 
output128               476.241               8.173               3.293                 
output129               470.733               7.967               3.213                 
output13              1012.261             199.552              97.427                 
output130               465.335               7.769               3.135                 
output131               459.692               7.572               3.058                 
output132               454.163               7.381               2.982                 
output133               448.137               7.188               2.906                 
output134               441.322               6.987               2.825                 
output135               429.994               6.721               2.719                 
output136               412.066               6.360               2.573                 
output137               421.814               6.429               2.601                 
output138               402.998               6.067               2.455                 
output139               364.234               5.417               2.191                 
output14              1011.900             192.557              93.590                 
File_Name            direct                diffuse             adjacent  
output140               390.261               5.734               2.319                 
output15              1025.001             188.747              91.181                 
output16              1052.900             188.125              90.185                 
output17              1025.593             178.323              84.703                 
output18              1003.257             169.770              79.850                 
output19              1038.049             169.421              79.516                 
output2               690.601             237.134             112.231                 
output20              1035.496             162.793              76.364                 
output21              1030.655             156.261              73.189                 
output22              1048.333             153.601              71.765                 
output23              1025.791             145.531              67.757                 
output24               995.092             136.431              63.396                 
output25              1009.582             133.528              62.040                 
output26              1043.015             133.302              61.877                 
output27              1056.861             130.726              60.573                 
File_Name            direct                diffuse             adjacent  
output28              1045.384             125.324              57.916                 
output29              1044.233             121.487              55.941                 
output3               735.564             237.215             113.052                 
output30              1053.016             119.091              54.590                 
output31              1054.463             115.587              52.905                 
output32              1044.014             110.583              50.707                 
output33              1038.136             106.342              48.822                 
output34              1036.736             102.847              47.246                 
output35              1039.664              99.957              45.918                 
output36              1049.387              97.922              44.951                 
output37              1053.897              95.542              43.798                 
output38              1003.794              88.557              40.513                 
output39               950.196              81.566              37.207                 
output4               754.123             229.110             109.894                 
output40              1005.128              84.123              38.238                 
File_Name            direct                diffuse             adjacent  
output41              1022.835              83.555              37.816                 
output42              1021.542              81.540              36.718                 
output43              1004.330              78.418              35.107                 
output44              1004.794              76.820              34.163                 
output45              1006.614              75.457              33.310                 
output46               986.912              72.610              31.791                 
output47               984.376              71.087              30.872                 
output48               992.746              69.987              30.316                 
output49               987.413              67.880              29.365                 
output5               750.257             215.069             103.773                 
output50               957.536              64.239              27.740                 
output51               929.473              60.906              26.241                 
output52               920.943              58.965              25.333                 
output53               958.919              60.062              25.719                 
File_Name            direct                diffuse             adjacent  
output54               962.412              59.015              25.175                 
output55               954.791              57.359              24.363                 
output56               947.918              55.835              23.600                 
output57               935.969              54.097              22.742                 
output58               790.716              44.889              18.761                 
output59               846.052              47.178              19.598                 
output6               716.642             194.479              94.322                 
output60               851.499              46.420              19.254                 
output61               857.749              45.616              18.944                 
output62               871.623              45.251              18.810                 
output63               863.199              43.763              18.203                 
output64               671.070              33.273              13.845                 
output65               739.922              35.799              14.899                 
output66               691.326              32.723              13.616                 
File_Name            direct                diffuse             adjacent  
output67               760.912              35.238              14.655                 
output68               797.968              36.179              15.034                 
output69               815.868              36.224              15.037                 
output7               745.509             191.502              93.298                 
output70               832.813              36.239              15.022                 
output71               825.401              35.211              14.571                 
output72               681.281              28.562              11.798                 
output73               462.755              18.972               7.815                 
output74               714.831              28.801              11.832                 
output75               788.716              31.237              12.796                 
output76               788.379              30.688              12.529                 
output77               782.955              29.969              12.190                 
output78               755.626              28.457              11.529                 
output79               743.620              27.561              11.117                 
File_Name            direct                diffuse             adjacent  
output8               825.260             201.710              98.599                 
output80               745.285              27.203              10.921                 
output81               734.667              26.423              10.554                 
output82               726.428              25.751              10.231                 
output83               646.361              22.608               8.933                 
output84               557.563              19.233               7.551                 
output85               529.622              18.033               7.035                 
output86               600.267              20.188               7.823                 
output87               603.897              20.068               7.722                 
output88               665.597              21.866               8.352                 
output89               683.442              22.206               8.416                 
output9               878.896             204.660             100.274                 
output90               671.707              21.596               8.120                 
output91               641.866              20.429               7.617                 
File_Name            direct                diffuse             adjacent  
output92               649.609              20.474               7.567                 
output93               656.887              20.405               7.523                 
output94               645.347              19.648               7.273                 
output95               660.833              19.725               7.330                 
output96               666.705              19.517               7.280                 
output97               655.600              18.823               7.047                 
output98               647.620              18.241               6.854                 
output99               616.665              17.046               6.427                 
