File_Name              path                adjacent         pixel  
   
File_Name              path                adjacent         pixel  
output1                11.040              47.981             105.363                 
output10                 9.307              43.735             151.944                 
output100                 0.370               2.153              69.302                 
output101                 0.351               1.945              63.614                 
output102                 0.343               1.933              64.077                 
output103                 0.327               1.782              59.927                 
output104                 0.316               1.692              57.802                 
output105                 0.337               2.099              72.601                 
output106                 0.306               1.718              60.242                 
output107                 0.220               0.510              18.107                 
output108                 0.215               0.521              18.833                 
output109                 0.223               0.717              26.164                 
output11                 9.160              43.428             157.757                 
output110                 0.194               0.365              13.537                 
output111                 0.193               0.428              16.078                 
File_Name              path                adjacent         pixel  
output112                 0.213               0.785              29.900                 
output113                 0.217               0.921              35.500                 
output114                 0.248               1.422              55.586                 
output115                 0.257               1.613              63.807                 
output116                 0.251               1.587              63.606                 
output117                 0.249               1.607              65.213                 
output118                 0.260               1.812              74.483                 
output119                 0.265               1.930              80.308                 
output12                 8.770              41.957             159.294                 
output120                 0.262               1.936              81.532                 
output121                 0.255               1.875              79.938                 
output122                 0.248               1.829              78.936                 
output123                 0.242               1.794              78.369                 
output124                 0.238               1.768              78.148                 
output125                 0.232               1.729              77.312                 
output126                 0.226               1.692              76.524                 
File_Name              path                adjacent         pixel  
output127                 0.222               1.667              76.287                 
output128                 0.216               1.629              75.420                 
output129                 0.211               1.592              74.544                 
output13                 8.419              40.644             161.065                 
output130                 0.206               1.556              73.685                 
output131                 0.201               1.520              72.782                 
output132                 0.196               1.485              71.901                 
output133                 0.191               1.449              70.890                 
output134                 0.186               1.407              69.620                 
output135                 0.179               1.347              67.340                 
output136                 0.171               1.263              63.815                 
output137                 0.172               1.294              66.092                 
output138                 0.163               1.208              62.365                 
output139                 0.150               1.053              54.923                 
output14                 8.004              39.001             161.180                 
File_Name              path                adjacent         pixel  
output140                 0.155               1.139              60.011                 
output15                 7.718              37.962             163.473                 
output16                 7.555              37.520             168.163                 
output17                 7.024              35.221             164.063                 
output18                 6.556              33.193             160.740                 
output19                 6.481              33.048             166.301                 
output2                10.872              47.669             110.732                 
output20                 6.184              31.735             165.820                 
output21                 5.888              30.417             164.995                 
output22                 5.736              29.831             167.804                 
output23                 5.380              28.176             164.201                 
output24                 5.004              26.371             159.250                 
output25                 4.870              25.812             161.488                 
output26                 4.830              25.752             166.772                 
output27                 4.702              25.221             168.941                 
File_Name              path                adjacent         pixel  
output28                 4.472              24.130             167.082                 
output29                 4.295              23.326             166.892                 
output3                10.839              47.939             117.631                 
output30                 4.169              22.784             168.304                 
output31                 4.021              22.094             168.484                 
output32                 3.839              21.182             166.706                 
output33                 3.682              20.402             165.672                 
output34                 3.562              19.709             164.986                 
output35                 3.459              19.130             165.069                 
output36                 3.363              18.778             166.864                 
output37                 3.255              18.351             167.881                 
output38                 3.067              16.784             157.881                 
output39                 2.895              15.151             146.716                 
output4                10.429              46.520             120.342                 
output40                 2.854              15.925             158.490                 
File_Name              path                adjacent         pixel  
output41                 2.767              15.939             162.951                 
output42                 2.676              15.504             162.759                 
output43                 2.549              14.853             160.042                 
output44                 2.472              14.484             160.149                 
output45                 2.401              14.155             160.478                 
output46                 2.292              13.492             156.788                 
output47                 2.220              13.119             156.241                 
output48                 2.167              12.954             158.133                 
output49                 2.095              12.562             157.174                 
output5                 9.746              43.851             119.521                 
output50                 2.000              11.786             151.084                 
output51                 1.888              11.169             146.627                 
output52                 1.817              10.810             145.341                 
output53                 1.816              11.096             152.671                 
File_Name              path                adjacent         pixel  
output54                 1.771              10.896             153.366                 
output55                 1.710              10.570             152.147                 
output56                 1.652              10.264             151.045                 
output57                 1.589               9.913             149.095                 
output58                 1.282               8.038             123.465                 
output59                 1.391               8.405             131.874                 
output6                 8.768              39.787             114.019                 
output60                 1.386               8.272             132.692                 
output61                 1.349               8.192             134.309                 
output62                 1.320               8.182             137.040                 
output63                 1.274               7.939             135.824                 
output64                 1.119               5.681              99.142                 
output65                 1.128               6.307             112.582                 
output66                 1.071               5.637             102.663                 
File_Name              path                adjacent         pixel  
output67                 1.074               6.245             116.083                 
output68                 1.059               6.546             124.102                 
output69                 1.040               6.644             128.485                 
output7                 8.580              39.282             118.500                 
output70                 1.027               6.714             132.365                 
output71                 0.994               6.528             131.202                 
output72                 0.793               5.222             106.730                 
output73                 0.496               3.284              68.654                 
output74                 0.791               5.257             111.841                 
output75                 0.867               5.782             125.171                 
output76                 0.849               5.683             125.255                 
output77                 0.825               5.543             124.368                 
output78                 0.789               5.199             118.693                 
output79                 0.760               5.028             116.816                 
File_Name              path                adjacent         pixel  
output8                 8.975              41.442             131.103                 
output80                 0.741               4.972             117.503                 
output81                 0.717               4.807             115.529                 
output82                 0.693               4.677             114.306                 
output83                 0.639               3.951              98.089                 
output84                 0.584               3.262              82.354                 
output85                 0.555               3.030              77.742                 
output86                 0.572               3.484              90.798                 
output87                 0.557               3.465              91.731                 
output88                 0.567               3.853             103.577                 
output89                 0.563               3.953             107.897                 
output9                 9.032              42.074             139.591                 
output90                 0.540               3.842             106.420                 
output91                 0.507               3.614             101.605                 
File_Name              path                adjacent         pixel  
output92                 0.501               3.613             103.067                 
output93                 0.497               3.606             104.423                 
output94                 0.481               3.487             102.569                 
output95                 0.484               3.515             105.007                 
output96                 0.481               3.491             105.891                 
output97                 0.466               3.373             103.894                 
output98                 0.454               3.279             102.516                 
output99                 0.432               3.037              96.354                 
